claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,property_type,incident_cause,location_risk_score,security_system_present,asset_value,total_claim_amount,fraud
17,232,47,IL,500/1000,500,571.6342019638653,1000000,MALE,PhD,Prof-specialty,Camping,wife,86095.16760688154,58673.42040774959,C,C,A,C,B,70402.2702786062,0
18,218,26,FL,500/1000,1000,850.4052749136813,0,MALE,JD,Prof-specialty,Camping,unmarried,55748.52687194799,39996.064374614114,C,B,A,B,C,21238.10401264773,1
19,446,23,FL,100/300,1000,1283.2350021583122,1000000,MALE,JD,Machine-op-inspct,Camping,husband,90083.77089742734,16622.98074431625,B,C,C,C,A,20529.450588035314,0
20,343,62,IL,100/300,2000,1312.6173947408452,0,FEMALE,Masters,Adm-clerical,Reading,not-in-family,67501.04889723158,25138.13648568668,B,B,A,A,B,83979.5856226604,0
21,454,23,IL,500/1000,2000,874.1407526847745,0,MALE,College,Prof-specialty,Reading,own-child,41225.98840630881,41240.78715373269,A,C,A,A,B,54961.59863999501,0
22,306,37,IL,100/300,2000,1919.732329281078,0,FEMALE,High School,Adm-clerical,Camping,unmarried,77641.94580033899,61973.78282148941,C,A,A,A,A,45559.34173920968,0
23,404,34,FL,250/500,1000,1200.7498316004285,0,MALE,College,Prof-specialty,Movies,other-relative,30202.1017795173,45450.60223209446,A,C,B,A,C,9779.822957328466,0
24,378,19,IL,500/1000,2000,1455.9144197256232,0,FEMALE,PhD,Exec-managerial,Chess,not-in-family,85465.48879872666,79163.68619881294,C,B,A,C,B,42905.85245957335,0
25,199,19,NY,500/1000,500,545.5435811220519,2000000,FEMALE,Masters,Machine-op-inspct,Chess,unmarried,32950.13035712755,57505.76639601843,C,C,C,A,A,70506.09652449108,0
26,497,27,CA,100/300,2000,1098.7732147126003,2000000,MALE,High School,Machine-op-inspct,Camping,not-in-family,79455.75799474376,34267.62142250903,C,B,A,A,A,10811.613594662158,0
27,483,18,IL,250/500,2000,1313.1625425836628,0,MALE,Masters,Craft-repair,Exercise,husband,28130.551933921954,49713.507770511176,A,B,B,A,B,3403.1704138860655,0
28,452,51,IL,250/500,500,968.3814617244138,0,FEMALE,Masters,Prof-specialty,Movies,other-relative,91691.61541872703,35933.50507918217,B,A,A,B,B,55540.27010620688,1
29,79,64,IL,250/500,500,757.057984880365,1000000,FEMALE,Masters,Prof-specialty,Exercise,own-child,18484.844632788954,3033.2965083099793,A,B,B,A,C,31957.158445438152,1
30,401,70,IL,100/300,2000,801.7197517274071,0,MALE,College,Craft-repair,Exercise,own-child,71899.45883783574,28106.906456221914,A,B,C,C,B,90645.60035548135,0
31,229,53,CA,250/500,1000,1199.825145695701,0,MALE,PhD,Adm-clerical,Movies,wife,40867.9291704808,45088.17817045554,B,B,B,C,C,59459.838763784865,0
32,278,57,FL,250/500,2000,606.5240326255046,5000000,FEMALE,PhD,Machine-op-inspct,Movies,wife,1845.9899041505578,25528.758845650966,C,B,C,B,A,30394.68754680959,0
33,439,68,TX,250/500,1000,851.691458909073,5000000,FEMALE,College,Machine-op-inspct,Reading,other-relative,33184.903993611915,71956.17610751971,A,A,A,C,B,31733.92109195451,0
34,427,37,NY,250/500,1000,1579.3083314464197,0,MALE,JD,Machine-op-inspct,Reading,own-child,20264.296929771343,86211.59515470777,C,A,A,C,B,13343.123544403952,1
35,435,49,FL,500/1000,500,822.1102242903335,0,MALE,High School,Exec-managerial,Chess,husband,55523.75073292779,29694.93281495682,C,C,C,B,C,44044.83920924781,1
36,356,73,IL,100/300,1000,675.4023724595883,0,MALE,High School,Adm-clerical,Reading,other-relative,25987.27731925141,2421.776933611297,B,C,B,A,B,7308.817558818091,0
37,114,34,FL,250/500,2000,625.6417260251429,0,MALE,College,Craft-repair,Exercise,wife,7261.907236576515,87553.45729670895,A,A,A,B,C,44344.94532561224,0
38,404,56,NY,500/1000,1000,1983.0923688302878,1000000,MALE,Masters,Machine-op-inspct,Movies,wife,95308.91420051301,57739.18675196289,B,A,A,C,B,12490.828342703373,0
39,236,39,FL,500/1000,1000,630.2941647330525,0,MALE,Masters,Prof-specialty,Chess,wife,84513.27678216073,581.689275285513,A,C,B,B,B,67878.82624116873,0
40,21,22,FL,500/1000,2000,1150.2477095109216,0,MALE,PhD,Prof-specialty,Reading,unmarried,4533.800696736401,49991.19338171567,B,B,A,C,B,65283.058824964304,1
41,140,18,IL,250/500,500,1266.6082705885758,0,FEMALE,College,Adm-clerical,Chess,own-child,27141.40797047766,9675.358577131954,C,A,C,B,C,83914.90546258094,0
42,317,48,CA,250/500,1000,1946.8639097287619,0,MALE,JD,Exec-managerial,Camping,unmarried,63047.6739787071,67390.43266026268,B,C,C,A,B,92279.56274097513,0
43,227,35,TX,500/1000,2000,1836.6488662719455,0,MALE,JD,Craft-repair,Reading,other-relative,32136.0801125679,53382.98757035303,C,C,C,C,A,65563.11403097308,0
44,330,22,FL,500/1000,1000,856.5181534211536,0,MALE,High School,Machine-op-inspct,Chess,unmarried,28180.33816544956,91318.93288011629,A,C,A,C,C,15851.37744773642,0
45,69,42,CA,500/1000,1000,627.0517788119413,0,FEMALE,High School,Craft-repair,Movies,own-child,59586.12208921078,39505.40696335214,A,A,C,B,B,51073.28973018344,0
46,445,24,TX,500/1000,1000,1156.8906339932132,0,MALE,Masters,Craft-repair,Exercise,other-relative,19434.246697501247,92363.99020353572,B,C,B,A,C,94147.87486124155,1
47,72,31,NY,250/500,1000,651.3717464372376,0,FEMALE,Masters,Prof-specialty,Movies,own-child,64852.686965185545,83646.92444081714,B,A,C,A,B,20327.907149913804,0
48,403,24,NY,500/1000,2000,1806.658249078202,0,MALE,College,Exec-managerial,Camping,own-child,8930.749743702505,75244.83266022659,C,A,A,A,A,39238.98578445878,1
49,444,47,FL,500/1000,1000,1555.6623955733146,0,MALE,Masters,Machine-op-inspct,Reading,not-in-family,32495.298312595623,43799.14607776672,A,C,B,A,A,74931.44649533564,0
50,253,34,TX,250/500,2000,1915.6796864088315,2000000,FEMALE,Masters,Prof-specialty,Camping,husband,11558.056940316641,41429.74906890794,C,B,A,B,C,76446.64943560265,0
51,358,30,NY,100/300,500,1354.1780670493636,2000000,MALE,PhD,Prof-specialty,Exercise,husband,29660.276465531766,39465.85204354356,B,B,B,B,A,94965.09633823376,1
52,151,41,IL,100/300,500,1046.6374170515078,0,FEMALE,College,Prof-specialty,Reading,husband,68280.14042126083,5167.710805329751,B,A,C,B,B,25093.16642418955,1
53,459,53,CA,250/500,500,1250.9713899954927,1000000,FEMALE,High School,Prof-specialty,Reading,wife,76389.42106251809,60603.99758754765,B,B,C,B,B,85900.86844903165,0
54,425,29,FL,500/1000,2000,741.1656466554185,0,FEMALE,College,Craft-repair,Exercise,not-in-family,14500.141399996002,79791.95122179789,B,B,B,C,A,5724.54690640851,0
55,290,35,NY,250/500,2000,1194.594914008499,0,MALE,JD,Exec-managerial,Camping,not-in-family,74622.19157571367,74405.74616598526,A,C,B,C,B,15006.863297160076,0
56,166,40,CA,250/500,2000,1998.0615850165152,0,FEMALE,Masters,Craft-repair,Movies,not-in-family,8428.63173550441,58283.916176249586,C,B,C,B,B,94332.36607367621,0
57,88,39,IL,250/500,500,1535.759234410922,0,FEMALE,High School,Exec-managerial,Exercise,unmarried,21654.73001675858,35723.172866802255,A,C,A,B,B,88134.97887866366,0
58,218,42,FL,500/1000,1000,593.5348319834687,5000000,FEMALE,College,Exec-managerial,Chess,husband,50032.66501391884,69480.22991516131,A,B,C,A,B,6563.1135335338295,0
59,169,61,FL,250/500,2000,1588.5010996457788,0,MALE,High School,Machine-op-inspct,Movies,other-relative,97126.52776877543,52888.773873217055,A,A,A,A,B,7229.010187233727,0
60,320,42,NY,250/500,500,650.9910867979621,5000000,FEMALE,Masters,Craft-repair,Reading,not-in-family,97355.72659177003,83974.45649886968,B,B,C,A,B,35516.00509743873,0
61,267,53,FL,500/1000,2000,1085.966863374115,0,MALE,High School,Adm-clerical,Exercise,wife,47834.55919104492,27337.024949075327,B,C,B,B,A,40297.93968421783,0
62,256,38,CA,500/1000,2000,1679.3753788410202,0,MALE,High School,Exec-managerial,Exercise,husband,80498.68808789183,10208.867245400177,C,C,A,A,B,47049.0674761739,0
63,204,65,TX,100/300,500,692.1348264847508,0,MALE,High School,Adm-clerical,Chess,unmarried,55335.7699400422,321.47090167868873,A,B,C,C,A,55075.21400493654,0
64,166,63,CA,100/300,2000,939.1150815935778,0,FEMALE,JD,Prof-specialty,Camping,wife,75169.75622235412,74302.90717955501,B,A,C,C,C,13497.737657692245,0
65,497,46,IL,500/1000,2000,792.8933418661546,2000000,FEMALE,PhD,Exec-managerial,Chess,wife,65308.55497537531,59932.56440855557,A,A,A,A,A,98648.27757602665,0
66,295,70,FL,250/500,2000,1805.1437149790631,0,MALE,College,Exec-managerial,Chess,not-in-family,69716.95642890195,5991.306809235785,A,A,B,A,C,95805.09630729418,0
67,133,25,IL,100/300,500,721.8747890714254,0,FEMALE,High School,Craft-repair,Camping,other-relative,43960.888087810665,83992.47249904023,A,A,B,C,A,41180.2323559541,0
68,156,66,IL,500/1000,500,1303.6778475394099,0,FEMALE,JD,Exec-managerial,Reading,own-child,83311.67753696353,47718.45762370356,B,A,C,A,A,49029.231440217176,0
69,430,71,FL,100/300,2000,912.9723355681019,0,FEMALE,High School,Adm-clerical,Exercise,other-relative,44565.45354689758,46131.570820054425,A,B,B,B,C,36633.25869310574,1
70,177,22,TX,100/300,500,1260.886582371083,0,MALE,High School,Exec-managerial,Movies,unmarried,70576.80319933286,68455.31757047528,C,A,C,C,B,65242.66573827002,0
71,67,19,CA,500/1000,2000,751.0461208320713,1000000,FEMALE,PhD,Machine-op-inspct,Reading,unmarried,87024.77427615973,63466.121036860364,B,B,B,C,B,70080.88947344186,0
72,22,69,IL,250/500,2000,1636.3646925986982,1000000,FEMALE,JD,Machine-op-inspct,Reading,unmarried,65557.83764533937,23872.57850140915,C,A,A,B,A,53771.042746661056,0
73,491,40,CA,100/300,2000,1464.6671568067243,0,MALE,PhD,Craft-repair,Reading,wife,50976.50167850122,64471.10086880716,B,C,C,C,C,92467.95565759635,0
74,263,19,IL,100/300,2000,565.1393629034001,0,MALE,JD,Machine-op-inspct,Movies,unmarried,52831.7157965084,85819.72496743551,A,C,B,A,C,34995.49195987281,0
75,100,39,FL,500/1000,1000,1921.3477927720087,0,FEMALE,College,Exec-managerial,Exercise,other-relative,70881.59614096851,39175.64424562938,A,C,C,C,B,26375.805795109874,0
76,1,38,FL,500/1000,1000,1839.4603739044173,0,MALE,College,Machine-op-inspct,Reading,wife,9216.173013563033,28977.151983410033,A,A,B,B,A,65739.5153300818,0
77,241,61,FL,250/500,2000,946.666560582862,0,FEMALE,PhD,Prof-specialty,Chess,other-relative,63655.48190339736,6010.017713915549,B,B,A,A,C,16676.78026969105,0
78,259,66,FL,100/300,2000,937.8206203687516,5000000,FEMALE,College,Craft-repair,Movies,husband,37492.88628790385,60512.24493421874,C,C,A,A,B,57934.685923678226,0
79,306,34,FL,250/500,500,1248.7666667256708,1000000,FEMALE,High School,Exec-managerial,Camping,not-in-family,13522.436041057028,75537.14420692435,C,B,A,B,A,32666.863430815058,0
80,470,57,CA,500/1000,2000,1428.6786500762598,0,MALE,College,Machine-op-inspct,Exercise,husband,91253.20504160946,96763.85292299853,A,B,C,C,B,14162.79319632891,1
81,148,48,IL,500/1000,500,936.5539030667364,0,MALE,College,Prof-specialty,Chess,not-in-family,49762.736849021705,61195.83947121147,C,C,C,A,A,31988.090827809156,1
82,308,42,NY,250/500,1000,1693.029152449899,0,FEMALE,College,Machine-op-inspct,Movies,husband,45698.877422596626,44791.011972745066,C,A,A,A,B,20652.87388346568,0
83,25,24,TX,500/1000,1000,617.7429446826745,5000000,FEMALE,High School,Machine-op-inspct,Movies,other-relative,54240.41491740332,93517.07382304958,C,C,A,A,B,63134.52304185405,0
84,231,42,NY,500/1000,500,1096.7540362258696,1000000,MALE,JD,Machine-op-inspct,Camping,own-child,62254.388206228636,17881.51550728486,A,C,C,C,C,5645.547655007043,1
85,413,35,IL,100/300,2000,1333.7136918981237,0,MALE,College,Exec-managerial,Movies,not-in-family,19463.39868577508,70840.11209215064,B,B,A,A,A,81924.4424894328,0
86,160,49,CA,100/300,500,1699.5229715380096,0,FEMALE,College,Craft-repair,Exercise,other-relative,62549.15937912768,32732.1311700163,A,A,C,B,B,58632.13979427024,1
87,149,25,IL,500/1000,1000,1807.725940774725,0,FEMALE,Masters,Prof-specialty,Chess,husband,35245.09227590215,86148.11080135588,A,C,A,B,B,85778.59254201091,0
88,459,64,TX,100/300,2000,866.6105439420874,0,MALE,Masters,Craft-repair,Movies,not-in-family,71474.20873635447,74524.5531961154,C,B,B,B,B,16447.142443592624,0
89,5,31,IL,250/500,2000,861.5963491729239,0,FEMALE,JD,Craft-repair,Camping,own-child,77186.65029397857,33361.78424494887,A,A,C,A,B,47486.6076918095,0
90,83,65,FL,250/500,2000,1052.3966768638234,0,FEMALE,College,Adm-clerical,Exercise,not-in-family,748.4265113173572,77482.54185891533,C,C,A,B,C,66960.20379614593,0
91,454,23,NY,250/500,1000,1141.333363720129,1000000,FEMALE,College,Prof-specialty,Movies,wife,71633.99792854527,89041.9573206399,A,A,C,C,B,15009.874024629567,0
92,285,72,TX,500/1000,2000,1772.604832293253,0,FEMALE,JD,Exec-managerial,Reading,not-in-family,35250.436706780405,25234.870581070667,A,B,A,C,C,1887.7193542434106,0
93,106,40,TX,100/300,1000,511.3567208530698,0,FEMALE,JD,Exec-managerial,Reading,unmarried,30371.388087106166,57169.48314016272,B,A,C,C,B,94329.83325418143,1
94,232,32,NY,100/300,1000,1527.4401031553825,1000000,FEMALE,Masters,Adm-clerical,Camping,own-child,37289.77073073862,41962.98149697495,C,A,A,B,A,78184.67351524328,0
95,312,39,CA,250/500,1000,830.0881871307487,0,MALE,High School,Adm-clerical,Reading,not-in-family,57563.83345255296,92587.49270094678,A,C,C,B,C,78329.67791944864,0
96,7,53,NY,100/300,500,1823.6030243468185,2000000,MALE,JD,Adm-clerical,Reading,husband,11454.60630291092,97229.9239229567,A,B,A,C,A,92091.95260509079,0
97,400,20,NY,100/300,1000,976.0213587769072,0,MALE,Masters,Adm-clerical,Exercise,not-in-family,69825.054566894,10380.362310799084,B,A,B,B,A,58023.11876697517,0
98,362,62,NY,250/500,1000,1306.3340777733995,0,MALE,PhD,Exec-managerial,Exercise,own-child,44516.70879922811,54877.8625596292,C,B,C,B,A,64335.10034116363,0
99,91,61,CA,100/300,500,993.5531629426804,0,MALE,High School,Exec-managerial,Chess,unmarried,15983.78645433256,53087.89299976439,A,A,A,B,C,21293.685398756756,0
100,159,26,TX,250/500,2000,1137.921985750735,1000000,FEMALE,Masters,Machine-op-inspct,Chess,not-in-family,50937.94693073437,86867.2444327271,C,B,A,C,B,47303.0462379422,1
101,303,22,IL,250/500,500,1283.3464031286285,0,FEMALE,JD,Craft-repair,Chess,wife,57409.655550179414,77908.72507834171,A,C,A,B,A,16180.433821365823,1
102,8,29,NY,500/1000,2000,1621.3060518029106,0,MALE,PhD,Craft-repair,Exercise,other-relative,34628.9773333042,28711.21274322226,C,A,B,B,B,10335.596417754248,0
103,43,46,CA,250/500,500,681.1348683043175,0,FEMALE,PhD,Craft-repair,Exercise,own-child,89963.37465954019,52197.949066400164,C,B,B,A,B,25904.987497838218,0
104,451,18,IL,100/300,2000,1028.3404441413973,0,FEMALE,JD,Craft-repair,Exercise,husband,69722.8696718805,37817.43535019329,A,A,B,B,B,46221.60292542952,0
105,258,50,IL,100/300,500,1459.455591253311,0,MALE,JD,Exec-managerial,Reading,unmarried,66132.13764640604,35317.60912991764,B,A,B,C,B,64005.37518042225,0
106,299,73,TX,250/500,500,1383.2000629363333,1000000,FEMALE,PhD,Exec-managerial,Chess,own-child,5334.43116357174,73095.80487523181,A,C,C,C,C,50680.57567262014,0
107,305,38,FL,500/1000,1000,1671.2456910303697,0,MALE,High School,Adm-clerical,Reading,own-child,50162.96797161295,59939.92220417671,B,C,A,A,B,89498.26304967719,0
108,227,38,IL,250/500,2000,1833.6115031185682,1000000,FEMALE,PhD,Exec-managerial,Chess,own-child,85078.74385187445,19892.698570984667,B,B,C,C,B,33020.62272761576,0
109,303,44,NY,250/500,500,641.1103195260956,0,FEMALE,JD,Exec-managerial,Camping,husband,66830.0890767429,62069.38002145833,A,A,B,B,C,84757.80771627165,1
110,262,19,IL,500/1000,500,1570.7624808226597,0,MALE,High School,Machine-op-inspct,Reading,own-child,23284.893964303956,46366.6482781547,A,C,A,A,C,43854.15036138107,1
111,9,25,FL,500/1000,2000,926.0092225336086,0,MALE,Masters,Prof-specialty,Chess,not-in-family,86121.73719181189,34104.03067719528,B,C,B,C,B,14233.783342066994,0
112,480,29,FL,250/500,500,1222.0802809855063,0,FEMALE,College,Adm-clerical,Movies,not-in-family,36954.22347806886,6652.965064218275,A,B,C,A,C,86651.02452992811,0
113,333,39,TX,500/1000,500,1441.6606400452024,0,FEMALE,College,Adm-clerical,Camping,own-child,91502.02625031976,92869.24204837518,A,B,A,C,B,49186.145486387395,0
114,255,66,CA,100/300,1000,725.9153300303856,5000000,MALE,College,Machine-op-inspct,Reading,not-in-family,51226.62950013819,86168.0581873948,B,A,B,A,B,14432.947857320112,0
115,145,26,TX,250/500,1000,1019.8844210003438,0,MALE,Masters,Prof-specialty,Reading,wife,78661.13275351508,30352.26843971567,A,C,B,C,A,19221.785538224893,0
116,32,61,FL,100/300,2000,1964.1235613522488,0,MALE,Masters,Exec-managerial,Movies,husband,61195.367801833825,55634.24358287305,A,A,B,C,A,7681.94540269382,0
117,89,55,CA,500/1000,2000,704.4455816956327,0,FEMALE,PhD,Adm-clerical,Exercise,not-in-family,29138.244814984395,86467.55187429226,C,B,A,C,A,64600.11925250228,0
118,319,46,TX,100/300,1000,624.9991770875662,0,MALE,Masters,Prof-specialty,Movies,own-child,65382.013115569614,51944.63606290131,B,A,C,B,B,36633.400104248896,0
119,38,20,NY,500/1000,500,1755.197437159376,0,MALE,Masters,Craft-repair,Exercise,unmarried,956.6329030054277,14181.847163066685,C,C,C,A,C,96658.64896243936,0
120,183,39,IL,250/500,500,1145.9528678428874,0,MALE,JD,Adm-clerical,Reading,other-relative,83520.20600648256,47468.78991226407,C,A,B,C,B,54074.28163743059,0
121,433,21,NY,500/1000,1000,1512.1873796751797,0,MALE,Masters,Prof-specialty,Exercise,other-relative,96583.03226141253,31399.504710916903,A,C,C,C,A,24922.08618338961,0
122,80,46,NY,250/500,500,958.6016340252357,1000000,MALE,JD,Craft-repair,Movies,wife,20704.459950223085,45782.29906761926,B,A,C,B,B,59095.59211771661,0
123,106,58,IL,500/1000,2000,797.6491257773816,2000000,MALE,PhD,Craft-repair,Chess,husband,88363.67145033438,84798.61112553244,B,A,B,B,C,97682.46350031228,0
124,411,30,IL,500/1000,1000,818.713020692466,5000000,FEMALE,College,Exec-managerial,Camping,unmarried,16783.535149916406,40881.18299318302,A,A,B,B,C,2801.5967322062147,1
125,65,41,FL,100/300,500,793.3835064343184,0,FEMALE,High School,Prof-specialty,Reading,husband,49148.15558216944,79939.72655088064,C,B,C,B,B,17398.8661461502,0
126,359,19,IL,100/300,500,870.4576983103798,0,FEMALE,College,Adm-clerical,Camping,other-relative,29259.763153271368,23264.5460880329,B,A,C,A,C,92851.47020696463,0
127,100,20,NY,250/500,2000,831.8306107767696,1000000,FEMALE,PhD,Adm-clerical,Movies,unmarried,19183.51740328951,59373.043314492636,C,B,A,B,C,2943.4938986319985,0
128,95,32,IL,250/500,2000,1720.5465718398636,1000000,MALE,High School,Prof-specialty,Camping,other-relative,75568.73954140674,42607.342326050944,A,A,B,C,A,96353.11733705553,0
129,474,41,FL,100/300,2000,1299.9405577206617,0,MALE,College,Machine-op-inspct,Chess,other-relative,80660.29196714805,97309.5930148989,A,B,A,A,A,62968.53271458517,1
130,414,67,CA,250/500,2000,944.7533257513776,0,MALE,PhD,Machine-op-inspct,Chess,husband,83861.72001880954,76.03968650616855,C,C,C,A,B,23551.480245644118,1
131,373,43,TX,250/500,1000,1017.5840755423376,1000000,MALE,PhD,Exec-managerial,Chess,own-child,847.9558411211285,36366.6900100998,C,A,A,B,B,9423.614427725968,0
132,323,25,NY,100/300,1000,1936.6972363556936,0,MALE,JD,Exec-managerial,Movies,not-in-family,84784.2041393812,81337.9062814276,B,C,B,B,C,10861.254879544182,0
133,354,57,IL,500/1000,1000,775.8047288315707,0,FEMALE,Masters,Machine-op-inspct,Chess,wife,5145.26751646055,39150.54494715586,B,C,A,B,C,83856.34662576612,0
134,351,70,CA,250/500,500,1830.1312226248237,0,MALE,JD,Craft-repair,Reading,unmarried,44841.573312075954,21750.968321916753,A,C,C,A,C,82232.30048658479,0
135,266,64,TX,250/500,500,1605.2058813439453,0,FEMALE,JD,Craft-repair,Chess,not-in-family,17528.23054880974,85327.81210622848,C,A,B,A,B,83469.5555614071,0
136,372,22,TX,500/1000,500,1420.1787033704845,0,FEMALE,College,Machine-op-inspct,Movies,wife,90671.48783089897,59172.74914999639,C,A,C,B,A,96084.17418196972,0
137,22,25,TX,250/500,500,1436.1387649382689,0,FEMALE,PhD,Adm-clerical,Chess,unmarried,57671.89552830261,55665.007710998085,A,B,C,A,C,39363.95988546185,0
138,174,63,NY,100/300,500,1134.4098617671611,0,FEMALE,Masters,Machine-op-inspct,Camping,other-relative,46845.50639740259,40083.23374910762,C,C,A,B,B,91625.98885085272,0
139,447,56,TX,100/300,1000,1158.2760122541135,0,MALE,PhD,Adm-clerical,Chess,unmarried,44417.74470595946,15761.840680809124,C,C,B,B,B,16569.67967057603,1
140,59,63,NY,250/500,2000,1694.1221428411905,0,FEMALE,High School,Adm-clerical,Movies,unmarried,40443.96169359478,57559.253539666024,C,B,C,A,B,93950.3953134975,0
141,406,49,NY,250/500,1000,1716.2943946052126,0,FEMALE,College,Craft-repair,Camping,not-in-family,47393.06066603528,50527.996149576014,A,B,B,C,B,24743.31085448166,0
142,358,48,FL,100/300,2000,1356.7364980931325,0,MALE,JD,Craft-repair,Exercise,husband,56562.552125162314,40209.78181143867,C,A,A,A,B,41096.583728710495,0
143,119,25,TX,500/1000,2000,1652.8890053844407,2000000,MALE,Masters,Craft-repair,Reading,wife,81706.86704801374,7688.288783379149,B,C,A,C,A,51777.8947355211,0
144,418,34,IL,100/300,1000,1715.08138585082,0,FEMALE,Masters,Adm-clerical,Chess,wife,23768.188689238978,65096.06290004913,B,A,B,A,C,80416.53396706928,1
145,464,40,CA,500/1000,2000,998.1665772506035,0,MALE,Masters,Adm-clerical,Movies,unmarried,80437.42851330437,63173.65843523691,A,B,C,C,C,39233.769562453104,0
146,51,56,NY,500/1000,2000,1435.0380315315883,0,MALE,High School,Exec-managerial,Reading,own-child,83048.50342941133,55907.57240356538,A,C,A,C,C,34485.19579730563,0
147,304,67,NY,500/1000,500,1153.6914306857666,1000000,MALE,JD,Machine-op-inspct,Camping,own-child,85125.35542669999,13148.788415287905,B,B,A,A,B,98286.50014628586,0
148,467,30,FL,500/1000,500,647.1620839535508,0,FEMALE,Masters,Craft-repair,Movies,not-in-family,94156.99935517194,30283.802565387065,C,A,A,B,A,7920.890377228956,0
149,362,74,NY,500/1000,2000,1472.698477518114,0,FEMALE,PhD,Prof-specialty,Chess,not-in-family,95658.65353493179,46985.81566500307,C,B,B,C,B,3046.110130396228,0
150,369,61,NY,500/1000,2000,1381.2260494749285,0,FEMALE,Masters,Prof-specialty,Chess,wife,10792.513538735227,73448.10466902226,A,B,B,C,B,6140.87061252389,1
151,31,32,IL,250/500,2000,653.896559302061,0,FEMALE,Masters,Adm-clerical,Exercise,unmarried,87771.10259271528,22290.632616121853,C,A,A,B,A,91462.00579196394,0
152,247,62,NY,100/300,1000,606.2192904363237,2000000,FEMALE,Masters,Exec-managerial,Reading,not-in-family,84546.6477663845,80085.04386739475,B,A,C,A,A,23661.975107540424,1
153,165,45,CA,100/300,2000,874.4515102341204,0,FEMALE,High School,Machine-op-inspct,Chess,wife,37740.532541276596,31916.59877428201,C,B,B,A,A,4847.701236474713,1
154,45,65,CA,250/500,2000,1750.1231498278394,0,MALE,JD,Adm-clerical,Camping,husband,69135.58272034253,66569.471256336,C,A,C,B,C,73011.93145882161,0
155,452,47,IL,250/500,500,595.5152090604412,0,FEMALE,PhD,Machine-op-inspct,Camping,other-relative,92670.79104432098,93693.03631548815,B,A,B,B,C,64222.905429594095,0
156,334,32,FL,500/1000,2000,1190.5524798473605,0,MALE,College,Adm-clerical,Camping,husband,9133.491211724031,71418.38606915937,A,C,B,C,A,79278.79579234752,0
