claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud
11,466,43,NY,100/300,1000,1622.158501831234,0,MALE,PhD,Machine-op-inspct,Chess,not-in-family,84868.79268829328,46825.59088206436,Vehicle Theft,Unknown,Minor Damage,None,VA,Columbus,2,1,YES,1,1,YES,65091.04951528291,4205.463276136313,5330.840665482073,78288.80177337312,Volkswagen,2002,0
12,214,72,FL,500/1000,500,812.4165127303187,0,MALE,College,Prof-specialty,Chess,husband,16921.590013949128,77964.18224163886,Multi-vehicle Collision,Unknown,Major Damage,Police,WV,Columbus,18,4,Unknown,2,3,Unknown,84887.20629999132,22069.856476485937,22837.356071646984,54799.27076750947,BMW,2016,0
13,330,40,TX,250/500,2000,807.8301309411077,5000000,FEMALE,College,Craft-repair,Exercise,wife,70588.661822796,93929.52736169602,Parked Car,Side Collision,Trivial Damage,Police,VA,Northbrook,1,3,YES,0,0,Unknown,69626.7546071815,28783.35474537018,22860.33292845843,75064.52127050806,Volkswagen,2008,0
14,458,61,IL,250/500,2000,784.2785648560653,1000000,MALE,PhD,Machine-op-inspct,Chess,own-child,14650.334050541858,66349.86303769468,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,VA,Columbus,16,1,NO,0,1,Unknown,127194.94382449992,4421.126452687131,29876.63720592183,42401.159499105794,Ford,2003,0
15,87,56,IL,250/500,1000,688.423419734354,1000000,FEMALE,High School,Prof-specialty,Chess,husband,78509.80089510253,50614.32495582981,Multi-vehicle Collision,Unknown,Major Damage,Fire,NY,Riverwood,1,3,NO,2,0,NO,4546.743393045186,13052.701402660601,23428.11785394492,70984.91337717292,Chevrolet,1997,0
16,372,32,IL,500/1000,500,966.5105055063311,5000000,FEMALE,High School,Prof-specialty,Reading,own-child,24512.60044545075,25073.197751202468,Vehicle Theft,Front Collision,Total Loss,Police,WV,Springfield,20,1,NO,1,1,Unknown,31771.72487630672,10123.724470751984,4358.017437813836,58223.36636050389,Dodge,2023,0
17,99,73,NY,250/500,1000,1828.8831716651375,2000000,MALE,High School,Craft-repair,Camping,own-child,73781.7727586946,67286.79604557496,Vehicle Theft,Rear Collision,Total Loss,Police,PA,Riverwood,15,2,YES,3,3,Unknown,132315.1278797773,11654.332505522943,9676.342253571847,2675.1538524720686,Mercedes,2003,1
18,359,66,TX,100/300,2000,1662.3927084589325,0,FEMALE,JD,Machine-op-inspct,Chess,husband,45500.161852797246,98223.97558535074,Single Vehicle Collision,Rear Collision,Total Loss,None,WV,Northbrook,16,1,YES,2,3,YES,9335.470582706597,22594.192173953295,13551.80751873438,85393.31431300053,Audi,2018,0
19,151,21,FL,100/300,500,1602.8768244601902,0,FEMALE,Masters,Machine-op-inspct,Chess,unmarried,98626.34645527723,47622.2475539235,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Columbus,9,4,NO,0,0,YES,34434.75138951531,19835.66797666678,3799.5841712938527,77496.67007988217,Saab,2006,0
20,130,46,CA,100/300,2000,1696.005208474944,1000000,MALE,High School,Machine-op-inspct,Movies,husband,57989.38307492809,16214.18788898954,Vehicle Theft,Side Collision,Minor Damage,Police,VA,Springfield,3,4,YES,2,0,Unknown,53011.924391284694,29060.608933884578,23641.16923343442,85811.32441433065,Mercedes,2009,0
21,149,39,CA,250/500,2000,904.1268339943575,0,MALE,Masters,Exec-managerial,Camping,other-relative,63257.936422028615,10334.058145417857,Parked Car,Unknown,Minor Damage,Ambulance,VA,Columbus,10,2,Unknown,2,1,NO,112735.7138413478,5564.385100692668,15800.956137377594,65849.79751701733,BMW,2011,1
22,308,42,IL,100/300,500,1831.1625361287317,0,MALE,Masters,Machine-op-inspct,Camping,not-in-family,36816.35138512874,26925.618259898143,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,VA,Columbus,16,3,Unknown,1,1,Unknown,84247.01407694383,16297.826079776403,28333.487072872605,37144.27685737983,BMW,2003,0
23,257,30,TX,250/500,500,705.9550627124066,0,MALE,College,Adm-clerical,Camping,own-child,73452.01578474331,56944.20190212435,Parked Car,Rear Collision,Minor Damage,None,VA,Springfield,23,4,Unknown,1,2,YES,143213.40306565948,13473.784362570803,17679.24433577461,18707.97157343677,Saab,2018,0
24,343,35,NY,100/300,1000,1004.5185900733729,2000000,FEMALE,PhD,Exec-managerial,Exercise,not-in-family,49488.5641104835,94680.53010913289,Multi-vehicle Collision,Side Collision,Total Loss,None,WV,Springfield,11,2,Unknown,3,2,YES,34567.31475340953,27565.68326777249,15686.972512147617,16281.671646171624,Volkswagen,2002,0
25,491,50,TX,500/1000,1000,1380.1221784510144,0,MALE,JD,Exec-managerial,Reading,wife,1806.6635095864146,29916.508306414667,Parked Car,Side Collision,Total Loss,Fire,VA,Riverwood,20,4,NO,2,2,YES,130882.00054581506,318.5769743087985,2142.75458798593,13127.970730060668,Chevrolet,2000,0
26,413,33,TX,500/1000,2000,654.3576325130009,1000000,MALE,Masters,Exec-managerial,Reading,own-child,60858.15978756452,30539.117137160443,Parked Car,Unknown,Major Damage,Police,OH,Riverwood,9,2,YES,1,3,Unknown,42795.566717512695,29675.112023012825,4480.377148337333,19932.806873472444,Toyota,2003,0
27,293,62,NY,500/1000,500,1595.1952816646374,0,MALE,JD,Exec-managerial,Movies,wife,83045.95904293614,48117.96591121924,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,OH,Riverwood,15,4,Unknown,1,0,NO,37201.98973942075,14392.029431175863,25485.782302924534,49602.17759993084,Audi,2009,0
28,385,59,IL,500/1000,500,1080.8690723052123,0,FEMALE,College,Prof-specialty,Camping,other-relative,23680.177006045065,91854.23350991888,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,3,2,NO,0,0,Unknown,75007.09211585294,18766.189417007925,29720.279334774248,61568.681189576906,Mercedes,2018,0
29,191,61,TX,250/500,1000,1676.6084984126,0,FEMALE,High School,Adm-clerical,Camping,other-relative,22106.37550851846,41905.50505890892,Single Vehicle Collision,Front Collision,Minor Damage,Police,PA,Riverwood,2,4,Unknown,1,2,YES,11145.073535845806,10801.576674171465,12455.374076948085,28333.684835362514,Toyota,2012,0
30,443,19,CA,100/300,2000,1239.344428376904,2000000,FEMALE,Masters,Craft-repair,Chess,not-in-family,60888.61831192704,22322.939186093317,Multi-vehicle Collision,Side Collision,Major Damage,None,OH,Northbrook,8,3,YES,2,2,YES,57953.89844249583,25575.800090864966,24302.58251174787,49432.35255875693,Saab,2016,0
31,276,72,NY,500/1000,2000,771.3117866380046,0,FEMALE,PhD,Machine-op-inspct,Exercise,other-relative,81797.92764254939,16313.091498177135,Vehicle Theft,Front Collision,Minor Damage,Ambulance,NY,Northbrook,5,1,Unknown,2,1,YES,53673.55723240668,16859.63835355148,18827.572989919554,30778.61408490113,Dodge,2022,0
32,160,52,FL,250/500,1000,1602.1427170330164,1000000,FEMALE,College,Exec-managerial,Exercise,husband,24962.033784357583,45701.53692724816,Multi-vehicle Collision,Unknown,Major Damage,None,WV,Columbus,11,4,Unknown,0,2,YES,24435.182577415144,19884.328087492944,28771.77821015141,62716.246633292234,Chevrolet,2005,0
33,459,59,IL,500/1000,500,878.2159337584153,0,MALE,JD,Craft-repair,Movies,own-child,93226.26512430391,80067.74357301496,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Columbus,0,2,Unknown,0,0,Unknown,129188.82936859912,19467.141241820293,7144.117063322798,88964.91120679058,Dodge,2018,1
34,313,51,NY,500/1000,1000,1236.2154519020642,0,FEMALE,High School,Prof-specialty,Reading,wife,92738.7356681549,29135.24047243896,Vehicle Theft,Side Collision,Trivial Damage,Ambulance,VA,Riverwood,13,3,Unknown,0,1,Unknown,58190.5017345528,10919.464196931976,16345.072290238291,62042.62545762123,Volkswagen,2008,0
35,21,47,FL,250/500,1000,613.2999037353615,0,FEMALE,JD,Craft-repair,Camping,not-in-family,20053.667190793334,51252.26392306429,Multi-vehicle Collision,Side Collision,Total Loss,Fire,VA,Columbus,23,4,YES,2,2,NO,147297.06683729554,2279.729874198475,12263.874550277867,5406.848857705035,Toyota,2007,1
36,252,72,FL,250/500,1000,1426.799981618055,0,FEMALE,PhD,Exec-managerial,Movies,not-in-family,26378.441205681567,60300.827242254905,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbrook,9,2,NO,2,3,YES,135006.33838114724,24231.186782821504,16251.479278290457,43003.422709275634,Dodge,2007,0
37,235,30,TX,100/300,1000,1498.786649324416,0,MALE,Masters,Adm-clerical,Exercise,other-relative,70059.88109481614,45047.041165789735,Vehicle Theft,Rear Collision,Total Loss,Police,PA,Northbrook,17,1,Unknown,3,2,Unknown,29624.199585703856,8691.477575529525,8065.742502565656,69357.83558784431,Toyota,2016,0
38,344,30,TX,100/300,500,1068.0113149591753,0,MALE,PhD,Craft-repair,Exercise,other-relative,95173.3109024426,19169.02413532894,Vehicle Theft,Rear Collision,Total Loss,Police,OH,Columbus,12,2,NO,1,3,Unknown,76015.7647645218,25467.906854331133,14932.38488147232,48847.52040219705,Mercedes,2007,0
39,48,35,TX,500/1000,1000,1931.6341704816107,1000000,FEMALE,JD,Exec-managerial,Exercise,wife,70988.26887763146,92174.56779348553,Single Vehicle Collision,Unknown,Total Loss,Police,PA,Riverwood,8,4,YES,0,2,YES,90469.71868579966,18259.29026372479,18744.124401742953,85600.56637208853,Dodge,2021,0
40,474,49,NY,500/1000,500,1811.2533822231026,0,MALE,JD,Exec-managerial,Camping,own-child,44490.0049820538,56544.9235234484,Parked Car,Unknown,Total Loss,None,NY,Northbrook,22,2,YES,1,1,Unknown,122934.59519007136,10611.11874292434,2436.4765199847625,5023.973960458588,Toyota,2019,1
41,58,49,NY,100/300,1000,1561.911373609992,0,FEMALE,PhD,Machine-op-inspct,Camping,own-child,16900.13464265031,72913.43839138855,Parked Car,Side Collision,Minor Damage,Ambulance,WV,Springfield,18,2,Unknown,1,3,YES,132903.59107288352,17827.41446920868,22289.617644228696,26274.883342281457,Ford,2010,0
42,169,52,IL,100/300,2000,1570.478111740614,1000000,MALE,PhD,Machine-op-inspct,Camping,not-in-family,46100.98488396211,63604.30054379329,Single Vehicle Collision,Rear Collision,Total Loss,None,OH,Springfield,3,1,NO,3,3,NO,93790.69416274574,19364.78077084313,21195.68889481252,19942.557876816994,Audi,2006,1
43,475,56,TX,250/500,500,878.6025724132269,0,MALE,PhD,Adm-clerical,Chess,wife,60676.77919705544,99804.80217275737,Single Vehicle Collision,Unknown,Trivial Damage,Fire,PA,Columbus,2,4,Unknown,2,1,YES,5752.563369761199,21200.50223276017,26413.728043544557,69109.23593854663,Volkswagen,2015,0
44,187,63,FL,100/300,2000,1485.2228466326735,0,FEMALE,High School,Machine-op-inspct,Reading,not-in-family,33095.19189566503,45631.013443865595,Parked Car,Front Collision,Trivial Damage,Ambulance,PA,Riverwood,5,4,YES,1,3,YES,72450.82920296033,24670.14403521214,12775.696554297767,47188.996856712205,BMW,2018,0
45,463,69,CA,100/300,1000,797.3093978532795,0,MALE,JD,Adm-clerical,Exercise,unmarried,51025.782120008975,42497.237329909345,Single Vehicle Collision,Rear Collision,Total Loss,Police,OH,Columbus,8,1,Unknown,0,1,Unknown,132778.12865985668,4792.648266539541,1850.073978441532,12537.14460063522,Chevrolet,2020,1
46,270,46,IL,500/1000,1000,716.0048358797332,0,FEMALE,College,Prof-specialty,Exercise,own-child,13021.412832870594,36013.986609000625,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Riverwood,9,3,Unknown,0,2,NO,107256.39558036685,28324.3315430585,13843.833870650607,25774.834385182377,Dodge,2012,0
47,189,66,NY,100/300,1000,1999.2018413038702,0,FEMALE,High School,Prof-specialty,Chess,wife,45218.81045125864,36162.84593402626,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Riverwood,8,2,NO,2,1,NO,130586.22024071394,12325.218432825326,4128.275161858843,47087.0731373741,BMW,2006,0
48,445,46,IL,500/1000,500,1433.5638972097613,5000000,FEMALE,High School,Machine-op-inspct,Exercise,wife,9077.581892955399,27577.021071723673,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,PA,Springfield,16,2,YES,2,1,Unknown,101274.92856354474,25813.50895129132,19423.40440565453,89651.99541470307,Audi,1999,0
49,174,70,IL,100/300,2000,1146.4818089857858,0,MALE,High School,Prof-specialty,Exercise,not-in-family,4908.87499489906,98063.0125146547,Single Vehicle Collision,Front Collision,Major Damage,Police,VA,Northbrook,9,2,Unknown,2,1,NO,7083.233967338412,6614.387861033555,1413.945723939175,32849.88293164193,Ford,2011,0
50,445,61,IL,250/500,500,932.246784325927,0,MALE,College,Craft-repair,Camping,other-relative,85723.99155993272,87078.20343019119,Single Vehicle Collision,Side Collision,Trivial Damage,None,OH,Northbrook,5,4,Unknown,0,1,NO,145216.9951028883,870.8691661414437,11219.892186830853,14198.66615083861,Toyota,2015,1
51,50,74,IL,100/300,500,1405.880665493341,0,FEMALE,PhD,Craft-repair,Camping,wife,20508.158414607493,31667.300495721618,Parked Car,Unknown,Total Loss,Ambulance,NY,Columbus,15,4,Unknown,2,0,YES,137743.77181516695,17200.32130868552,2485.286954624861,44786.28066867006,Toyota,2017,1
52,363,33,CA,100/300,1000,574.3902623301292,2000000,FEMALE,JD,Craft-repair,Reading,not-in-family,57515.53291279333,30522.90446498356,Vehicle Theft,Front Collision,Major Damage,Police,NY,Columbus,16,2,NO,3,3,Unknown,19423.64121693718,9739.988372173168,100.99302214809924,27985.75531325261,Toyota,1995,0
53,54,73,TX,100/300,2000,642.0214857571925,0,MALE,Masters,Prof-specialty,Exercise,husband,14898.275840999242,10353.39871850548,Parked Car,Side Collision,Major Damage,Fire,NY,Riverwood,10,4,YES,3,2,NO,17347.329443140447,29533.86014843848,28816.716717047755,50980.41746218647,Audi,2007,0
54,243,61,FL,500/1000,1000,549.2850466105945,1000000,FEMALE,Masters,Craft-repair,Movies,other-relative,26252.757090929135,87703.08605094929,Parked Car,Rear Collision,Total Loss,Ambulance,WV,Northbrook,19,1,Unknown,0,1,NO,81092.2358213145,3133.6036414614878,29883.820440788408,42057.25622039181,Mercedes,2004,1
55,319,64,IL,250/500,500,1248.7547498939925,2000000,MALE,JD,Adm-clerical,Exercise,other-relative,36133.94197694844,37176.60508266061,Vehicle Theft,Front Collision,Major Damage,Fire,VA,Riverwood,6,1,Unknown,3,0,NO,113679.09976625405,1419.0859801056522,16665.088545954393,62085.1439619558,Volkswagen,1997,0
56,130,74,IL,100/300,1000,1400.9099437807738,2000000,MALE,College,Exec-managerial,Exercise,own-child,14367.643635477023,57261.53921451278,Parked Car,Rear Collision,Minor Damage,Police,NY,Springfield,3,4,Unknown,1,0,YES,57634.89518476893,1350.5345565939974,7168.675498364517,82294.73472718972,Mercedes,2000,0
57,484,27,IL,500/1000,2000,593.7196420367313,1000000,MALE,Masters,Machine-op-inspct,Reading,unmarried,4596.229701111032,90037.77288809311,Multi-vehicle Collision,Unknown,Total Loss,None,VA,Springfield,9,2,YES,2,2,YES,20889.13344971469,6506.210856713836,27332.971104259723,18126.240134110718,Saab,2010,0
58,306,47,TX,250/500,1000,1581.8367012483748,0,FEMALE,High School,Adm-clerical,Movies,own-child,87715.9802018011,40810.06484742057,Vehicle Theft,Front Collision,Trivial Damage,None,PA,Riverwood,20,2,NO,3,3,Unknown,76828.13676781251,17375.733490960152,27691.0979122832,73924.08832611899,BMW,2022,0
59,134,42,NY,500/1000,2000,845.5926072718466,1000000,FEMALE,Masters,Craft-repair,Exercise,husband,1183.283587977213,80686.80434228417,Multi-vehicle Collision,Unknown,Minor Damage,Fire,PA,Riverwood,13,2,NO,2,2,Unknown,50966.13736473639,15166.901209340751,25635.26673512118,85438.98782781333,Mercedes,1995,0
60,20,56,NY,500/1000,2000,1527.802180654799,0,MALE,JD,Exec-managerial,Movies,not-in-family,6132.098283506782,43028.56262487571,Parked Car,Unknown,Major Damage,Fire,WV,Riverwood,16,2,Unknown,3,1,YES,53089.90735492304,10502.274145006844,16331.099537021462,33687.5103684648,Ford,2013,0
61,328,37,CA,250/500,1000,1972.8457100528685,1000000,FEMALE,High School,Machine-op-inspct,Camping,other-relative,80507.21608281025,70094.09390177527,Parked Car,Unknown,Total Loss,Fire,VA,Riverwood,13,4,Unknown,2,3,Unknown,96925.33775763714,2663.793222507278,2241.064826880823,10318.276783643223,Saab,2002,1
62,166,22,NY,100/300,500,1536.6588050807768,0,FEMALE,Masters,Adm-clerical,Camping,other-relative,28200.833677305603,43118.44071921811,Vehicle Theft,Front Collision,Major Damage,Ambulance,OH,Riverwood,19,3,NO,0,3,Unknown,132898.41083481084,7012.112843829565,2653.1678261039347,73989.81425338198,Toyota,2003,0
63,273,18,IL,500/1000,1000,1824.7895793854127,1000000,MALE,JD,Machine-op-inspct,Movies,wife,72282.03011146974,39275.91345546926,Parked Car,Unknown,Total Loss,Police,WV,Springfield,22,3,NO,1,2,Unknown,84009.46376291882,5524.411943541506,26898.593631379656,63128.51326849768,Saab,2017,1
64,387,47,IL,500/1000,500,1922.297760114601,0,MALE,College,Prof-specialty,Exercise,unmarried,14622.574921791376,99070.9239561908,Single Vehicle Collision,Side Collision,Trivial Damage,Fire,NY,Springfield,12,2,NO,2,2,YES,103296.57536903053,22370.00511468145,26274.80542371688,19222.82721458125,Volkswagen,2014,0
65,88,66,IL,100/300,500,1230.1265725284734,0,FEMALE,JD,Craft-repair,Movies,unmarried,23728.174859671937,61234.9842003575,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Springfield,1,2,Unknown,1,3,YES,99162.0752324256,23398.391490039423,13031.91747543653,40125.601027111254,Ford,2017,0
66,315,20,CA,100/300,1000,1553.4874691295602,5000000,MALE,College,Adm-clerical,Movies,wife,57277.651659699346,36739.11816229792,Multi-vehicle Collision,Unknown,Total Loss,Fire,PA,Columbus,8,2,Unknown,2,2,NO,82896.35578726103,23310.42039185459,9844.63858429276,52061.499363440904,Ford,2001,1
67,13,62,IL,250/500,500,1777.9538803337625,0,FEMALE,High School,Adm-clerical,Camping,husband,98863.58384892835,25781.947708681786,Single Vehicle Collision,Rear Collision,Minor Damage,None,OH,Springfield,2,3,NO,0,3,NO,46958.342764677946,29071.21633242446,19323.717604323065,15369.882389963037,Dodge,2005,0
68,241,31,NY,250/500,500,1034.9133693115791,0,MALE,JD,Exec-managerial,Movies,unmarried,7344.447015922317,3976.6370229616377,Vehicle Theft,Unknown,Major Damage,Fire,WV,Northbrook,3,1,NO,1,2,NO,56980.23064408069,26527.13839002096,24209.638447665748,64370.66311399743,Mercedes,2017,0
69,264,73,TX,250/500,1000,892.0959748405924,0,MALE,PhD,Exec-managerial,Chess,other-relative,40055.45979818323,70656.6340248727,Vehicle Theft,Unknown,Total Loss,Police,VA,Northbrook,11,3,YES,3,3,NO,47697.71787431722,14934.142415355145,21950.54826155463,62120.45845135266,BMW,2002,1
70,345,47,TX,100/300,1000,1919.8978591675082,5000000,FEMALE,PhD,Exec-managerial,Chess,husband,4308.097000592481,37215.7428195262,Single Vehicle Collision,Rear Collision,Total Loss,None,PA,Riverwood,14,4,Unknown,1,1,Unknown,137665.9654240672,12448.080627274954,18468.088141521188,79852.6824647954,Chevrolet,2005,1
71,52,67,FL,500/1000,1000,1589.455250553227,0,FEMALE,PhD,Machine-op-inspct,Camping,own-child,19922.64426559749,82125.41637787648,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,19,3,YES,2,0,Unknown,124079.49124131125,27473.05553128385,6945.331333344941,51097.839502094736,Chevrolet,2008,0
72,385,21,NY,500/1000,500,829.5232000637395,0,FEMALE,PhD,Craft-repair,Exercise,own-child,90747.10268385046,36386.84606223187,Multi-vehicle Collision,Front Collision,Major Damage,None,OH,Riverwood,7,4,NO,1,2,YES,87112.4322412575,18336.7575614444,7875.146076621454,51730.741459537756,BMW,2008,0
73,339,35,IL,250/500,2000,1173.62508901417,0,FEMALE,PhD,Machine-op-inspct,Exercise,husband,9646.010378976966,37332.91924250303,Single Vehicle Collision,Unknown,Total Loss,None,OH,Riverwood,17,2,Unknown,0,3,Unknown,136880.398910643,8831.960010767858,21722.02444193105,55782.92330164021,Mercedes,1998,1
74,91,54,TX,100/300,500,1694.677654306714,0,FEMALE,College,Craft-repair,Camping,other-relative,85685.59213756336,77918.10064067562,Single Vehicle Collision,Side Collision,Trivial Damage,Ambulance,OH,Northbrook,4,4,Unknown,1,0,Unknown,133018.0996256227,16933.92083145502,24078.595573530933,24713.1151982334,Mercedes,2014,0
75,366,42,NY,500/1000,2000,1320.594486377663,2000000,MALE,JD,Adm-clerical,Exercise,own-child,17780.323811008126,48946.66567526538,Single Vehicle Collision,Side Collision,Major Damage,None,NY,Northbrook,1,2,YES,1,0,Unknown,139190.31276289935,29764.48268088379,3484.055642987697,68298.66602989245,Chevrolet,2003,0
76,443,65,TX,250/500,1000,1474.9281472488337,1000000,MALE,High School,Machine-op-inspct,Reading,not-in-family,86178.4846537704,88489.47706013928,Parked Car,Side Collision,Minor Damage,None,OH,Riverwood,21,1,YES,1,0,NO,33655.191719502174,25484.101804570866,5618.911431339182,59658.68358751054,BMW,2002,0
77,454,18,IL,500/1000,2000,1630.6523030675785,0,FEMALE,PhD,Machine-op-inspct,Chess,other-relative,53802.19631356752,59013.5756704552,Single Vehicle Collision,Unknown,Total Loss,Police,VA,Northbrook,8,2,YES,3,2,YES,107766.70414570226,8438.391481786248,20414.10786532114,75539.19172893588,Mercedes,2009,1
78,427,70,TX,500/1000,1000,1433.013783213471,0,MALE,PhD,Machine-op-inspct,Reading,wife,87820.66742268435,24064.48135143765,Parked Car,Side Collision,Trivial Damage,Police,VA,Riverwood,13,2,YES,1,2,NO,91579.06273856352,28588.63277751651,11669.597624142034,69195.8818470371,Toyota,2021,1
79,263,63,FL,100/300,1000,1310.1189828832935,1000000,FEMALE,High School,Prof-specialty,Reading,unmarried,15170.364465152043,56827.185430003345,Multi-vehicle Collision,Side Collision,Major Damage,Fire,WV,Riverwood,0,1,Unknown,2,1,Unknown,110207.68035627376,29443.863344373476,16898.78601813092,57507.643522315215,Volkswagen,2014,0
80,430,32,FL,100/300,2000,1624.4214265816602,0,MALE,High School,Craft-repair,Reading,husband,76203.6551307826,400.167593470202,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,19,2,NO,2,2,Unknown,39875.214905783934,6935.008782462456,18444.448579669082,14564.204366772947,Audi,2000,0
81,34,26,TX,500/1000,1000,1591.344553148301,0,MALE,PhD,Craft-repair,Camping,unmarried,68069.85960805767,31239.73747187192,Vehicle Theft,Unknown,Trivial Damage,None,VA,Columbus,3,2,NO,1,2,YES,104373.95618002552,26867.763555040237,23286.104018019956,82731.34435647381,BMW,2019,0
82,205,32,NY,250/500,2000,1444.8086002747684,0,FEMALE,College,Machine-op-inspct,Reading,wife,54293.33873929625,20795.234049781066,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbrook,16,2,NO,1,2,NO,61769.36303053086,26496.081530964962,24171.508521507225,33112.37510634504,Mercedes,2010,0
83,80,66,NY,100/300,1000,1039.6841200728945,0,FEMALE,High School,Prof-specialty,Movies,own-child,81058.7344410973,65418.785560293465,Vehicle Theft,Rear Collision,Total Loss,Fire,WV,Northbrook,9,3,YES,3,0,Unknown,125196.72354779189,1192.607197021218,8402.887357843694,86790.44130965693,BMW,2010,1
84,419,74,NY,500/1000,500,1108.7181383004074,0,FEMALE,JD,Machine-op-inspct,Exercise,not-in-family,64827.60244270397,13603.858349980503,Parked Car,Front Collision,Major Damage,Ambulance,OH,Springfield,1,4,NO,0,1,YES,119407.17591168507,20090.675791850612,16238.90186766514,36228.18509984919,Volkswagen,2023,0
