claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,destination_risk,trip_duration_days,incident_category,travel_insurance_type,booking_lead_time_days,total_claim_amount,fraud
18,405,18,TX,100/300,1000,1576.2341233854622,1000000,FEMALE,PhD,Craft-repair,Exercise,not-in-family,89400.96866483233,7873.2713192321,A,C,C,C,C,2517.1269201971213,0
19,454,54,NY,250/500,2000,657.6493652398779,0,MALE,PhD,Adm-clerical,Reading,unmarried,7204.197854532346,80319.72595109709,A,B,C,C,C,9888.928042727579,0
20,324,46,TX,100/300,500,1416.6383581450505,0,FEMALE,JD,Machine-op-inspct,Movies,own-child,34708.387019548114,22979.031333950606,B,C,B,B,C,923.4028443646833,0
21,57,33,TX,250/500,500,1778.5912306414662,0,FEMALE,PhD,Exec-managerial,Reading,husband,23500.794110419087,66663.20165193953,C,C,A,B,B,2954.9049838585597,0
22,296,64,IL,500/1000,2000,535.2190227834692,0,MALE,PhD,Exec-managerial,Reading,wife,10224.815845189849,14338.327768543191,A,B,A,C,B,7102.693033122507,0
23,442,41,FL,100/300,2000,721.0939822481316,0,FEMALE,Masters,Exec-managerial,Reading,not-in-family,16866.409748730493,38028.34919560226,A,B,C,B,B,5983.721997389176,0
24,306,62,TX,100/300,1000,519.623039060234,0,MALE,Masters,Craft-repair,Reading,other-relative,33372.24810423192,48746.234869550586,B,C,C,B,C,9769.68853221393,0
25,93,74,FL,100/300,500,1705.994895066244,0,FEMALE,College,Craft-repair,Movies,other-relative,61294.581788006086,35879.36653780951,C,B,A,A,C,7817.046378827059,0
26,352,68,CA,100/300,500,724.497297031425,0,FEMALE,High School,Adm-clerical,Movies,own-child,73198.47040721685,62119.67925256292,C,C,B,B,B,2855.313685653583,0
27,236,51,NY,100/300,2000,671.9732118992177,1000000,FEMALE,High School,Machine-op-inspct,Movies,own-child,49687.62897710856,85725.90128877143,C,B,C,C,B,5758.354117794133,1
28,180,61,IL,250/500,1000,704.9910649128037,0,MALE,PhD,Prof-specialty,Reading,not-in-family,8955.77564050939,56384.78956434759,B,C,A,B,A,9849.22696311744,0
29,468,64,IL,250/500,1000,1138.0010555440772,0,MALE,JD,Craft-repair,Reading,not-in-family,77240.94532033571,55074.95222570094,C,A,A,C,A,6910.44014839704,0
30,208,24,NY,500/1000,1000,1848.5248040778579,0,FEMALE,JD,Machine-op-inspct,Exercise,not-in-family,51610.680075805234,49630.24451294632,A,A,C,B,B,3147.475631223094,0
31,93,68,FL,500/1000,1000,846.0538167585966,1000000,MALE,High School,Machine-op-inspct,Exercise,not-in-family,77264.26870284083,96007.35640262485,A,A,B,C,C,2277.0533187309734,1
32,371,68,TX,500/1000,1000,1037.0001169757816,2000000,MALE,College,Adm-clerical,Movies,not-in-family,25279.624986594583,1963.674732352072,C,C,C,B,B,5437.760189752308,0
33,1,35,IL,500/1000,2000,851.0986738115243,2000000,FEMALE,Masters,Craft-repair,Exercise,other-relative,27236.056538024433,10705.965289636055,C,B,B,B,B,4321.896452038649,0
34,153,28,TX,250/500,1000,1233.1345598051237,0,MALE,College,Machine-op-inspct,Movies,not-in-family,20861.345158474687,41942.08510341259,A,B,B,B,B,5925.752010846115,1
35,90,40,TX,250/500,2000,1281.223064724666,0,MALE,College,Machine-op-inspct,Reading,wife,20021.96269287364,84045.45182624519,A,A,A,B,A,1680.9071694888855,0
36,194,74,TX,500/1000,2000,670.5614748842892,1000000,MALE,PhD,Prof-specialty,Reading,husband,49002.7405620902,93139.3942053147,B,B,A,C,C,4625.765608318756,0
37,120,61,NY,500/1000,1000,1990.8498006260572,1000000,FEMALE,Masters,Prof-specialty,Camping,wife,53882.764049047626,94651.2173217788,C,C,B,C,B,197.8479579298036,0
38,47,30,FL,250/500,2000,1933.639176047337,0,MALE,JD,Exec-managerial,Camping,wife,15906.665816136623,23682.53800371766,B,C,B,C,B,2040.4528649079348,0
39,371,31,CA,100/300,500,1071.7285448882405,0,MALE,Masters,Exec-managerial,Movies,husband,99502.69819560704,42006.01615044147,B,A,C,A,A,4123.392758877499,0
40,386,35,IL,250/500,1000,1589.7549909710558,0,MALE,JD,Machine-op-inspct,Movies,other-relative,48231.175511982816,66814.8450573995,B,C,B,A,B,9953.77565113816,1
41,56,19,CA,100/300,2000,1673.4289295694775,0,FEMALE,High School,Machine-op-inspct,Camping,own-child,35340.38888725095,84724.39687312226,B,B,C,B,C,1050.9614308423072,0
42,296,62,NY,100/300,500,1809.1196503731053,0,FEMALE,High School,Adm-clerical,Chess,husband,85001.72040836539,67146.46570165045,B,B,A,B,B,107.37681906121601,0
43,228,65,TX,250/500,500,1027.4796043916633,0,FEMALE,JD,Prof-specialty,Exercise,other-relative,81427.7122517687,90108.10481470202,B,A,A,B,B,3101.3067173921636,1
44,88,19,TX,250/500,2000,1901.2597668986598,2000000,MALE,College,Prof-specialty,Camping,other-relative,23389.279302864365,21302.449086051332,A,B,C,A,A,4163.969948219257,0
45,273,21,TX,250/500,1000,818.5444179384492,0,MALE,Masters,Adm-clerical,Exercise,own-child,84299.07027947062,55078.289860324956,B,C,A,B,A,6371.124679244968,0
46,78,34,CA,500/1000,500,1960.7651019296954,1000000,FEMALE,PhD,Machine-op-inspct,Chess,other-relative,28341.177434839814,49697.23884156201,C,C,B,C,C,7456.267360348429,0
47,100,31,TX,500/1000,1000,1015.8023563606398,0,FEMALE,Masters,Exec-managerial,Exercise,unmarried,6764.5108221275,85722.4881643255,A,A,C,C,A,3809.0118708403666,1
48,254,39,NY,250/500,500,649.9648105434783,1000000,MALE,Masters,Adm-clerical,Chess,own-child,3354.621549544168,12274.21452009142,A,A,C,A,A,8930.706809921736,0
49,352,33,IL,250/500,500,653.5054772238492,1000000,FEMALE,PhD,Craft-repair,Exercise,own-child,52070.284983373786,59584.789761569,B,B,A,C,C,2126.3508174171748,0
50,242,26,IL,250/500,500,1599.4889264189924,0,MALE,College,Exec-managerial,Exercise,husband,33954.44906660361,67561.73371261716,C,B,C,B,A,7588.760910024826,0
51,496,32,IL,500/1000,2000,930.2438658632591,0,MALE,PhD,Machine-op-inspct,Camping,wife,76397.92569053547,15656.517136647419,A,B,C,C,B,6120.79429496421,1
52,171,50,TX,100/300,1000,635.2054312500948,0,FEMALE,Masters,Adm-clerical,Camping,wife,53580.63352113479,76194.01975724447,C,B,B,A,A,6938.680549171403,0
53,311,20,NY,250/500,500,672.2001639705733,1000000,FEMALE,PhD,Machine-op-inspct,Movies,own-child,77893.33907392532,61196.95269995969,B,A,A,B,C,241.17656684422266,0
54,303,21,NY,500/1000,2000,1874.3340732834329,0,FEMALE,College,Adm-clerical,Movies,unmarried,68698.57999004594,17968.457748286037,A,B,B,A,A,9286.840909383547,0
55,16,52,TX,250/500,2000,764.3040554950421,1000000,MALE,High School,Machine-op-inspct,Movies,wife,98569.1779241282,90482.82480918159,A,C,A,C,A,1396.8897719953934,0
56,103,50,FL,250/500,1000,1265.7063714335168,2000000,MALE,High School,Craft-repair,Movies,other-relative,48153.34377798225,84825.79029868069,A,A,B,B,B,1180.750647826752,0
57,202,59,IL,500/1000,500,1927.9888045583232,1000000,MALE,High School,Adm-clerical,Reading,own-child,33855.28156231128,4591.141261084641,C,B,A,B,C,5891.817711799801,0
58,69,27,CA,500/1000,2000,1433.183321912973,2000000,FEMALE,Masters,Adm-clerical,Camping,unmarried,18226.106291688782,20754.912368717716,C,C,B,B,C,5620.049050248228,0
59,53,67,IL,100/300,1000,1983.411773694237,0,MALE,PhD,Machine-op-inspct,Camping,husband,65781.21730110276,38101.562070592576,B,A,B,B,A,2640.072832379829,0
60,499,28,TX,500/1000,2000,1024.0990355924837,0,FEMALE,High School,Adm-clerical,Reading,husband,53916.23229344021,53473.33299234696,A,C,C,C,C,2819.3269397444583,0
61,14,32,NY,100/300,1000,1752.742953738511,0,MALE,Masters,Prof-specialty,Exercise,not-in-family,70767.3112616592,55650.92698961394,A,B,B,B,C,6375.271675041412,0
62,104,53,CA,100/300,500,901.384144846139,0,MALE,JD,Adm-clerical,Exercise,husband,78269.57119903738,14386.851047892556,C,C,B,C,C,1548.8143561322674,0
63,175,64,CA,100/300,500,1110.2904582826095,0,MALE,High School,Machine-op-inspct,Camping,wife,65158.29773516823,11106.33246484306,A,B,C,A,C,2033.4686551582201,0
64,196,35,NY,100/300,500,923.9780606213699,0,MALE,High School,Prof-specialty,Chess,other-relative,81843.34588839828,93257.80626046639,B,A,C,B,B,2756.3924849364594,0
65,417,35,IL,500/1000,2000,823.2021420947691,0,FEMALE,JD,Adm-clerical,Exercise,unmarried,21218.18875619491,73780.26738375977,A,B,A,A,C,9986.895546520616,0
66,102,45,TX,250/500,1000,1068.844758685023,5000000,MALE,JD,Prof-specialty,Chess,wife,90077.11545908323,12311.47912344458,A,C,A,C,B,7718.159598631325,0
67,203,26,NY,100/300,1000,815.2426283273733,0,MALE,JD,Exec-managerial,Camping,not-in-family,23916.328464829894,88837.6213875657,C,C,B,A,A,123.06407529939733,0
68,42,48,TX,250/500,1000,1851.2537027628075,1000000,FEMALE,High School,Prof-specialty,Exercise,wife,33235.329076134934,25831.57395722393,A,A,B,B,C,891.0117778900322,0
69,176,67,CA,250/500,2000,1117.1953695486634,0,FEMALE,Masters,Craft-repair,Chess,own-child,12556.760634699936,38392.213728010625,B,B,C,B,A,1517.9786956613423,0
70,487,67,IL,250/500,2000,1238.3841631869195,0,MALE,PhD,Prof-specialty,Camping,unmarried,17670.996411516528,64188.54404925604,C,B,A,B,A,5670.642045052545,1
71,96,34,TX,100/300,1000,1596.3912372472573,0,FEMALE,JD,Craft-repair,Chess,wife,70468.5851371943,64777.15327218676,C,A,A,A,C,4714.089069952749,0
72,107,38,CA,100/300,1000,1769.615111053662,0,FEMALE,JD,Adm-clerical,Camping,not-in-family,14687.02683244364,50947.41039265209,B,A,A,C,A,5184.043436510648,0
73,325,67,TX,250/500,1000,1662.2912181807012,0,MALE,PhD,Adm-clerical,Camping,husband,98750.00614718659,13314.70650681944,B,A,B,C,C,3243.7176502622697,0
74,336,34,NY,100/300,500,1427.2278217196967,0,MALE,Masters,Machine-op-inspct,Movies,own-child,94323.17565961623,30728.935642911005,A,A,A,B,C,1617.029732753945,0
75,473,19,TX,500/1000,1000,532.4367059272829,0,MALE,Masters,Machine-op-inspct,Movies,husband,6842.297021243582,48121.81050012183,C,A,B,B,A,3267.2520021039954,0
76,63,68,FL,500/1000,500,548.7901673937865,0,MALE,JD,Adm-clerical,Camping,not-in-family,78936.77714012824,91420.29947542975,A,C,C,C,C,8697.57735887152,0
77,405,66,NY,100/300,2000,791.5973273223349,0,FEMALE,JD,Exec-managerial,Camping,wife,37806.74974192066,35197.4416879772,B,A,C,B,B,5088.025068635831,0
78,188,28,CA,250/500,500,1915.1276486463598,0,MALE,College,Machine-op-inspct,Camping,own-child,80719.12940009811,79804.96346309052,B,A,B,B,B,5252.695629905868,1
79,383,40,CA,100/300,2000,1117.988020083409,0,MALE,JD,Craft-repair,Reading,husband,6629.564435659663,938.2473223695231,C,C,C,C,C,6701.174235058249,0
80,89,37,TX,500/1000,2000,1108.7001101583753,0,MALE,PhD,Craft-repair,Camping,unmarried,62431.98260753671,31572.93297800534,C,B,B,A,B,634.8145200945524,0
81,169,65,TX,250/500,500,1320.8822930757858,0,MALE,Masters,Prof-specialty,Reading,not-in-family,71712.11048259545,25144.54136204979,C,C,C,B,C,2447.2013702965123,0
82,34,53,CA,250/500,1000,1267.0706296589656,1000000,MALE,College,Adm-clerical,Exercise,not-in-family,84670.58645541647,85997.04002397426,B,B,C,C,A,1191.0304638821976,0
83,76,36,CA,500/1000,1000,1374.1790109654855,0,FEMALE,College,Exec-managerial,Chess,not-in-family,88862.5341153374,20273.70861806519,C,A,B,B,C,2932.0684460202583,0
84,231,29,IL,100/300,500,1247.4349218183863,2000000,FEMALE,High School,Machine-op-inspct,Camping,husband,1106.9746642356492,89656.16624607105,C,C,B,C,C,291.0510180056453,0
85,436,21,CA,100/300,2000,942.7662302743729,2000000,FEMALE,College,Prof-specialty,Movies,wife,74720.02526154154,52593.28156944451,A,B,A,C,B,9402.269551153775,0
86,432,36,TX,250/500,2000,610.8481720004919,0,MALE,High School,Exec-managerial,Exercise,wife,14645.769650535245,82268.63047597057,C,C,B,B,A,9711.501476253661,0
87,196,39,TX,250/500,2000,1443.8116706927713,0,MALE,High School,Exec-managerial,Movies,other-relative,53485.66596354706,34831.85822995572,B,C,B,A,B,7797.436912608979,0
88,405,33,CA,500/1000,1000,803.3898306897056,0,MALE,College,Machine-op-inspct,Chess,not-in-family,37124.25526100114,31188.31409459786,A,A,B,C,C,6642.911385407151,0
89,358,29,CA,100/300,500,1403.3616317423016,0,MALE,College,Exec-managerial,Exercise,not-in-family,22405.505061577267,11616.995121251139,A,C,C,C,B,3840.6934090581035,0
90,290,52,FL,500/1000,2000,1518.6696170379323,2000000,MALE,College,Craft-repair,Movies,own-child,30309.349833969278,63139.20407833038,B,C,C,C,C,3488.314663012657,0
91,69,61,IL,100/300,1000,1050.5853907644844,0,MALE,High School,Machine-op-inspct,Exercise,wife,26085.861445811854,15689.414953316771,B,A,A,B,B,8583.23020459452,0
92,109,60,IL,100/300,1000,1384.4921419578654,2000000,MALE,PhD,Craft-repair,Exercise,unmarried,22683.329680074803,65124.64528945083,B,C,C,B,A,1410.040709693138,1
93,328,57,IL,100/300,500,773.8375911221183,1000000,MALE,College,Machine-op-inspct,Camping,own-child,65121.01225369509,6655.501856043656,A,C,B,C,C,7602.2794715547625,0
94,342,36,NY,100/300,1000,730.7158036014654,0,FEMALE,JD,Craft-repair,Movies,other-relative,34583.33934498712,14599.374287064304,B,C,C,A,B,9128.733381445416,0
95,48,63,NY,100/300,500,697.780120412786,2000000,MALE,Masters,Machine-op-inspct,Movies,own-child,89403.26086048088,95905.04600620875,C,B,B,A,C,1301.4417685562803,0
96,488,51,NY,100/300,500,560.7489711191223,2000000,MALE,High School,Adm-clerical,Movies,wife,54027.87424668115,73697.8315622266,B,A,C,B,B,1032.5416219038668,0
97,364,58,CA,500/1000,500,1396.8217482450023,0,FEMALE,Masters,Craft-repair,Exercise,husband,51828.15168341264,11284.998160550442,B,A,B,B,A,9124.683311106784,1
98,92,67,CA,100/300,2000,828.6781409128934,1000000,FEMALE,JD,Craft-repair,Reading,own-child,92420.75620478393,38898.630299899516,C,B,C,A,C,6060.111862128023,0
99,303,50,FL,100/300,500,602.9405200728436,2000000,MALE,College,Adm-clerical,Chess,not-in-family,87784.45377231222,13670.660711290782,A,B,B,A,C,7588.782246262465,0
100,394,24,FL,100/300,500,1549.2028848192874,0,FEMALE,Masters,Prof-specialty,Movies,not-in-family,2855.642102939704,48270.45807699558,B,B,C,C,A,6245.708108308347,0
101,292,49,IL,500/1000,500,717.9210595775736,0,MALE,High School,Exec-managerial,Exercise,not-in-family,60873.88587161777,93699.9167992291,A,A,A,C,C,8515.497974530865,0
102,304,73,IL,100/300,1000,1404.8155538783612,0,MALE,PhD,Machine-op-inspct,Reading,other-relative,60708.883935635284,32977.407415791386,A,A,B,A,B,9824.266769623006,0
103,377,56,NY,250/500,500,1332.035236099148,0,MALE,Masters,Exec-managerial,Camping,wife,92433.67266320284,76658.65861806029,B,A,C,C,C,5429.854770456227,1
104,399,60,NY,250/500,2000,1627.2821903539755,0,MALE,College,Exec-managerial,Exercise,wife,71335.34313392219,11895.128113694896,B,B,A,C,C,8661.966940114899,0
105,374,19,CA,100/300,500,1677.7982707424515,0,MALE,High School,Adm-clerical,Exercise,unmarried,44752.47214763525,34320.46438070541,C,C,C,A,C,7614.424135089657,0
106,452,35,CA,250/500,1000,1146.8506382284966,0,MALE,Masters,Craft-repair,Movies,unmarried,5400.880571991252,28988.42323726508,B,A,C,C,A,8937.878754137788,0
107,18,31,CA,100/300,1000,1299.1759002635895,2000000,MALE,PhD,Adm-clerical,Reading,wife,8579.404217285002,18697.367053503476,B,B,B,A,C,7979.2438615508945,1
108,220,21,TX,250/500,500,983.0227688799207,0,FEMALE,College,Adm-clerical,Movies,other-relative,46612.50131325193,28546.940276837875,C,C,B,B,B,232.17641130861446,0
109,285,35,NY,500/1000,500,556.4933324597479,0,MALE,College,Adm-clerical,Reading,husband,98352.36346620289,78902.85826815781,C,B,B,C,C,9386.687116098745,0
110,329,36,NY,250/500,1000,516.8345745588081,0,FEMALE,High School,Exec-managerial,Movies,other-relative,99133.54672267076,55531.50466958166,C,C,C,A,A,6976.547394113214,0
111,158,73,IL,100/300,500,1697.6263733799904,2000000,MALE,JD,Machine-op-inspct,Reading,unmarried,47743.71960301653,75117.6262607625,A,B,B,A,B,509.89837571278144,0
112,459,51,NY,250/500,500,700.2102563743708,0,FEMALE,College,Exec-managerial,Movies,unmarried,88400.60673956011,45052.924896756675,C,B,A,A,C,965.8648212287974,0
113,274,32,NY,100/300,1000,1440.5097879182013,0,FEMALE,PhD,Adm-clerical,Exercise,not-in-family,21254.56026420943,33972.40891160393,B,C,A,B,B,3033.7088552053947,1
114,220,29,TX,500/1000,1000,975.2782574703209,0,FEMALE,High School,Exec-managerial,Camping,own-child,31342.541231781295,80841.00231265169,B,B,B,C,C,9528.266910891856,1
115,340,60,FL,100/300,2000,1367.6160116747365,0,MALE,PhD,Adm-clerical,Reading,wife,38189.51647291399,69120.39369771429,B,A,A,C,B,2404.074758925328,1
116,454,37,NY,100/300,2000,691.0398937739604,1000000,FEMALE,College,Exec-managerial,Chess,not-in-family,69902.87451253454,48927.948851618865,C,B,B,A,B,7015.368493499483,0
117,89,44,TX,100/300,500,1331.61325740068,0,FEMALE,JD,Exec-managerial,Camping,wife,82430.05855847929,81741.8825592495,B,C,A,B,A,1474.4123627138079,0
118,5,40,TX,500/1000,1000,543.4771641462985,0,FEMALE,PhD,Adm-clerical,Chess,other-relative,39205.21732125047,9637.622444999915,A,A,C,B,C,953.6008778854412,1
119,44,46,TX,100/300,500,1366.6714956847381,1000000,FEMALE,PhD,Adm-clerical,Chess,own-child,46594.462226083,15811.793644637584,A,B,A,C,C,5745.790702890761,0
120,61,43,IL,100/300,1000,1001.0390397967842,0,FEMALE,Masters,Exec-managerial,Reading,husband,7444.883009223402,70718.99886965855,B,A,B,A,C,4699.675131456667,1
121,221,19,CA,100/300,500,887.974994076151,0,MALE,College,Adm-clerical,Camping,wife,27837.053118232645,45678.86935963141,A,A,A,C,A,8451.953600340523,1
122,340,20,NY,500/1000,1000,1428.940139690243,5000000,MALE,Masters,Prof-specialty,Movies,other-relative,80482.12704658545,91005.47928020036,B,C,C,A,B,8278.826134401612,0
123,18,38,TX,100/300,2000,1628.4732962100497,0,FEMALE,High School,Prof-specialty,Movies,wife,4153.317702030934,71599.23197810345,C,B,C,C,C,9870.718509236205,0
124,28,54,IL,500/1000,2000,1527.6681877526246,0,FEMALE,Masters,Adm-clerical,Movies,wife,75523.2654906972,273.93725172786264,C,B,A,C,A,8074.115308068915,0
125,339,72,NY,500/1000,2000,1852.1431389534644,0,MALE,Masters,Machine-op-inspct,Movies,husband,50734.63107465031,80766.62208567621,B,A,A,C,B,9043.259264153114,0
126,47,36,TX,500/1000,2000,588.9975351728214,1000000,MALE,PhD,Craft-repair,Chess,husband,27062.61200207578,54865.764255983486,A,C,B,A,C,5810.679290691019,0
127,362,53,NY,100/300,1000,1032.01223014374,0,FEMALE,Masters,Prof-specialty,Reading,other-relative,46778.39604639633,65112.798843917255,A,B,A,C,B,7653.023185989066,0
128,41,73,TX,500/1000,500,1917.2352739805583,0,MALE,College,Exec-managerial,Exercise,other-relative,45093.233348209316,95800.24011210522,B,A,B,A,A,4951.72782510329,0
129,462,67,NY,250/500,500,1305.5754548902314,0,MALE,JD,Prof-specialty,Movies,not-in-family,97566.9127064298,94588.19807751644,C,C,A,C,C,3484.269636478519,0
130,379,46,NY,250/500,1000,1994.5220235091342,1000000,MALE,JD,Machine-op-inspct,Exercise,other-relative,70332.78504482488,38421.04970265697,B,B,A,A,B,4212.015509298453,0
131,70,62,CA,250/500,2000,1717.6583447249072,1000000,FEMALE,PhD,Adm-clerical,Movies,other-relative,41290.36979857657,33723.407041502585,C,A,C,C,C,2401.9478434826483,0
132,193,19,NY,500/1000,1000,979.9410731869602,0,MALE,College,Exec-managerial,Exercise,not-in-family,93417.76826631011,27802.72351595359,B,B,C,C,A,8628.377009333368,1
133,248,31,FL,500/1000,2000,1428.7520566230567,1000000,FEMALE,Masters,Exec-managerial,Chess,unmarried,91932.36684235769,54762.39071947671,A,B,A,C,B,4247.266469161887,1
134,305,40,NY,100/300,500,602.0715478061773,1000000,MALE,PhD,Exec-managerial,Movies,unmarried,51134.89433098618,51857.2274048723,B,A,B,B,B,3563.2607137349796,0
135,378,67,CA,500/1000,2000,959.7580469860322,0,FEMALE,PhD,Prof-specialty,Reading,other-relative,93856.34175415784,76408.15808772831,B,B,C,A,A,9510.649954535635,0
136,376,68,CA,100/300,1000,1836.9851829160086,2000000,MALE,PhD,Machine-op-inspct,Exercise,own-child,61453.32233537245,57902.87612715046,A,C,A,B,C,1407.1560866037535,0
137,446,18,FL,100/300,2000,1730.2990322590151,0,MALE,PhD,Adm-clerical,Reading,wife,72821.6567307421,74658.9011483072,A,B,B,B,B,4319.7950339270865,0
138,317,20,CA,100/300,1000,1929.0320939999958,0,FEMALE,High School,Exec-managerial,Exercise,husband,46634.39222077891,13623.608851103352,A,C,B,A,C,9645.112508197502,0
139,239,68,NY,100/300,1000,1565.070800625855,2000000,MALE,PhD,Exec-managerial,Camping,own-child,62430.28681758289,49645.55595306318,A,C,C,B,C,3935.7166983315647,0
140,126,33,CA,250/500,2000,1841.4023323984113,0,FEMALE,High School,Adm-clerical,Movies,wife,39314.33875124271,40245.62387508889,A,B,A,A,A,7831.771528535558,0
141,35,52,IL,500/1000,1000,1022.2271148698871,0,FEMALE,JD,Machine-op-inspct,Movies,unmarried,15590.872879779705,27657.16730616784,A,C,A,C,B,6801.3846230900435,1
142,393,50,TX,250/500,1000,710.3667221488586,1000000,MALE,College,Prof-specialty,Chess,unmarried,35554.17072426489,78874.59753477563,A,A,B,B,A,4212.964429767322,1
143,356,58,TX,250/500,500,1531.02736587102,1000000,MALE,Masters,Adm-clerical,Exercise,not-in-family,39282.26821996699,85720.64928846645,A,C,A,C,C,9175.692858208558,0
144,437,56,FL,500/1000,500,1261.101513543039,0,FEMALE,High School,Adm-clerical,Movies,wife,77478.72464336857,40606.59928757223,A,A,A,B,A,8094.686483696751,0
145,170,54,FL,100/300,2000,1752.982477874853,0,MALE,JD,Exec-managerial,Reading,not-in-family,40161.11756804872,67146.40456351374,B,C,C,C,C,251.732348813507,0
146,15,35,NY,250/500,1000,1086.3990880497008,2000000,FEMALE,High School,Craft-repair,Reading,husband,47332.57133879795,18578.197024618094,B,B,B,C,A,3515.5813877032174,0
147,328,45,IL,100/300,1000,1596.951783408249,0,FEMALE,College,Exec-managerial,Movies,husband,76033.72519987136,56630.17324101947,A,C,C,C,B,2407.682869478073,0
148,48,61,NY,250/500,500,1984.2245306017537,1000000,FEMALE,High School,Prof-specialty,Exercise,wife,53550.40193532683,38762.267545846706,C,B,C,C,C,1745.7115409847222,0
149,203,42,IL,250/500,500,554.5543759544385,0,MALE,High School,Prof-specialty,Exercise,own-child,34429.94399654028,59902.88569678551,A,C,C,B,A,2540.1726071952903,1
150,429,43,NY,100/300,500,1747.968653146889,0,MALE,Masters,Machine-op-inspct,Camping,not-in-family,735.7488024732905,1872.628897322548,A,C,B,A,C,4371.171825049756,0
151,347,57,TX,500/1000,2000,1679.9089680691209,0,MALE,Masters,Adm-clerical,Camping,own-child,74644.04135683175,39409.720009744335,C,A,A,B,C,3247.9190611903573,0
152,142,67,TX,250/500,1000,783.0231413257118,0,FEMALE,High School,Adm-clerical,Exercise,other-relative,92138.95951669253,52385.099133488846,B,A,A,A,C,9260.187259306482,0
153,4,59,CA,100/300,1000,869.2778226848764,1000000,MALE,Masters,Adm-clerical,Reading,unmarried,544.476667279381,97350.83308818724,B,C,B,C,A,628.2740379411105,0
154,196,41,IL,250/500,2000,1997.7598032465648,0,FEMALE,PhD,Prof-specialty,Reading,other-relative,66692.252755579,98092.69193737599,B,B,C,A,A,3332.093916211504,0
155,123,47,CA,500/1000,500,1412.8423444549835,0,FEMALE,High School,Prof-specialty,Movies,other-relative,51299.74965479468,50464.54012581367,C,A,B,C,A,4682.978019827032,0
