claim_id,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud
31,61,NY,500,597.806886890738,1000000,FEMALE,College,Exec-managerial,own-child,10521.955523816972,25454.091428323554,Single Vehicle Collision,Unknown,Total Loss,Fire,13,1,Unknown,2,0,YES,88188.15674641279,14663.96226123723,27794.43302134209,30008.636242528424,BMW,1999,1
32,42,TX,1000,1195.8970652184992,1000000,FEMALE,Masters,Other-service,wife,67201.9762180535,41484.7842208532,Vehicle Theft,Front Collision,Major Damage,Fire,20,3,NO,0,3,Unknown,56272.894746801896,2678.4322883744817,10619.152439365913,24843.595469319214,Audi,2015,0
33,66,CA,500,1863.8303087923402,2000000,MALE,High School,Priv-house-serv,other-relative,63542.7920702972,17490.16772557897,Vehicle Theft,Unknown,Total Loss,Police,14,1,NO,0,2,NO,38269.295918596064,11623.248520657042,21735.660070028785,35016.037625456935,Chevrolet,2011,0
34,44,CA,2000,1308.0526969290713,1000000,FEMALE,College,Priv-house-serv,own-child,80576.39182933312,21241.426658845026,Vehicle Theft,Side Collision,Total Loss,None,2,2,NO,2,1,NO,5296.12308356076,2833.9835381469934,9029.595277853505,20287.99214119489,Mercedes,2007,0
35,59,NY,500,1246.7187620514353,2000000,FEMALE,High School,Priv-house-serv,wife,82524.86666521808,6409.2555149548925,Single Vehicle Collision,Side Collision,Minor Damage,Police,4,1,YES,1,1,Unknown,67391.21496157131,5722.512093701436,34.90992983935293,13581.468356992178,Toyota,2000,0
36,45,CA,2000,658.2105499349459,2000000,MALE,College,Adm-clerical,wife,86820.3075778979,6146.093999948637,Vehicle Theft,Rear Collision,Total Loss,Ambulance,20,4,NO,2,3,NO,98661.40314802501,215.23315051361513,11392.336036468701,39852.72692822656,Audi,2018,1
37,33,FL,500,1485.1701570864411,1000000,MALE,PhD,Priv-house-serv,other-relative,41413.15145790984,30978.41123893298,Vehicle Theft,Unknown,Major Damage,None,17,3,Unknown,2,3,Unknown,91223.7416764591,5439.392444539865,22132.96539327716,14547.516211390552,BMW,2016,0
38,32,IL,500,1733.1547409003383,0,FEMALE,PhD,Handlers-cleaners,own-child,69786.43953521443,33776.61843100283,Parked Car,Side Collision,Total Loss,Police,13,2,Unknown,0,1,NO,71870.95971855609,9913.420619950826,4500.725383395417,17429.804271330227,Chevrolet,2008,1
39,64,NY,500,1070.6300112613435,0,MALE,PhD,Protective-serv,other-relative,26825.035892231073,38866.62570410966,Parked Car,Side Collision,Total Loss,Fire,15,1,YES,0,1,YES,10976.639396466531,16146.55301196884,15144.060996221791,32460.52540164449,Saab,2009,0
40,68,CA,500,1663.4177763879911,5000000,MALE,High School,Adm-clerical,unmarried,99933.62799835042,27834.102634087678,Multi-vehicle Collision,Unknown,Total Loss,Fire,13,4,YES,2,0,Unknown,24324.28929333922,27578.316335481966,6369.64454552145,4001.131238777158,Chevrolet,2017,0
41,61,NY,2000,1946.7149808512174,5000000,MALE,JD,Exec-managerial,wife,17533.424137685994,32287.964613065295,Multi-vehicle Collision,Front Collision,Total Loss,None,8,2,Unknown,1,2,NO,19091.477435602057,16209.806017261657,2238.723642573087,15766.359189311328,Dodge,2008,1
42,72,NY,2000,805.6496886915336,1000000,MALE,College,Priv-house-serv,other-relative,1011.443166083581,675.8635849860028,Multi-vehicle Collision,Unknown,Minor Damage,Fire,14,1,NO,2,1,NO,35868.43320543671,21168.106240930247,18523.559458329488,3885.548690812216,Toyota,1998,0
43,69,IL,1000,1284.9944467921118,0,MALE,PhD,Protective-serv,wife,14880.8714518176,8108.536356859403,Single Vehicle Collision,Unknown,Major Damage,Police,6,3,Unknown,1,3,NO,23933.96416525778,10730.312739173225,28559.028669102092,6002.5817335739375,Ford,2012,0
44,74,FL,2000,930.7069371268633,2000000,MALE,College,Other-service,own-child,77587.22895441267,49245.73830084523,Multi-vehicle Collision,Front Collision,Minor Damage,None,13,1,YES,2,0,Unknown,24821.724874183474,22548.92380701802,9321.126561537512,683.3126071712736,Dodge,1995,0
45,20,NY,500,1689.281628550759,5000000,MALE,High School,Priv-house-serv,husband,44678.36765082115,3799.6753157915896,Single Vehicle Collision,Rear Collision,Major Damage,Fire,5,2,YES,2,0,YES,61864.628569852866,18614.06238154432,17419.37401079851,876.9995570038209,Mercedes,2006,0
46,54,CA,1000,1366.3900488217364,2000000,FEMALE,JD,Protective-serv,other-relative,44750.024781042826,33939.41111301225,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,2,Unknown,1,3,NO,32210.914268157656,13793.820398245838,28608.101032523835,15521.371635362653,Mercedes,2016,0
47,68,TX,1000,1451.8736263254557,5000000,MALE,High School,Handlers-cleaners,other-relative,95502.29196116685,8804.13165158581,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,2,NO,2,3,Unknown,67877.70620901107,5813.0638467367735,19514.500499840626,32461.97029543716,Ford,2003,0
48,24,NY,1000,1696.8712394238412,1000000,FEMALE,College,Other-service,wife,91963.49080280743,35835.929288382096,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,19,4,NO,0,0,NO,94815.02108504497,9106.227239918968,20193.399069298626,23686.67224337188,Volkswagen,2004,0
49,38,NY,500,1093.9557089936825,0,FEMALE,JD,Handlers-cleaners,own-child,31119.47378040092,35299.52014809967,Single Vehicle Collision,Side Collision,Major Damage,None,7,1,YES,2,3,YES,64028.55270301729,18628.382621272653,5367.855346825077,25579.104743436914,Volkswagen,2015,0
50,26,IL,2000,1872.635102610565,5000000,FEMALE,JD,Exec-managerial,unmarried,20905.812878086617,11709.95298940451,Parked Car,Front Collision,Minor Damage,Ambulance,1,1,Unknown,0,0,YES,75289.83938243194,12781.689730937189,14778.2903655848,21010.344884603015,Ford,2022,0
51,56,FL,500,1299.5433008692098,0,MALE,High School,Protective-serv,own-child,84848.22099337397,13481.719960960208,Vehicle Theft,Unknown,Minor Damage,Police,7,1,Unknown,1,3,YES,75282.25132064238,26681.596702471557,11012.482412617399,32881.82919473707,Mercedes,2012,0
52,35,TX,1000,736.932234253022,2000000,MALE,PhD,Handlers-cleaners,other-relative,90601.90710443632,32738.535680104414,Vehicle Theft,Front Collision,Total Loss,Fire,0,3,YES,1,0,Unknown,33404.927445731446,7045.208146067559,14128.705571730901,35274.95964485388,Chevrolet,2011,1
53,21,CA,500,1543.8486772532037,1000000,FEMALE,College,Exec-managerial,unmarried,54159.69227984869,19504.301939010682,Vehicle Theft,Side Collision,Major Damage,Fire,16,4,Unknown,0,1,NO,1988.320462046832,2192.1795675981693,24024.797293256313,34064.75876174232,Toyota,2013,0
54,42,TX,500,1689.8920256573815,0,MALE,Masters,Protective-serv,own-child,62942.37111171005,9727.398484995565,Parked Car,Side Collision,Minor Damage,Fire,18,4,YES,2,1,Unknown,5977.272317924337,17680.457295164535,13820.969632382948,32579.21817922004,BMW,1998,0
55,31,CA,2000,975.14251560129,1000000,FEMALE,Masters,Protective-serv,husband,25691.428469229337,36583.97993937409,Single Vehicle Collision,Unknown,Minor Damage,None,4,3,NO,0,3,NO,28564.994963013563,26581.525205702277,1885.5203477350524,7717.166405749711,Toyota,2010,0
56,67,FL,2000,1785.7688854981295,0,MALE,High School,Handlers-cleaners,wife,80080.26879785246,7707.376216816708,Multi-vehicle Collision,Rear Collision,Major Damage,None,21,4,NO,0,2,Unknown,69109.54677393101,10942.17088319366,27166.24983452589,23958.110901926233,Ford,2001,0
57,26,CA,1000,1859.2148821486496,2000000,MALE,College,Protective-serv,own-child,63212.242844902314,42782.18320724733,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,19,3,Unknown,1,1,NO,90714.97229550511,19431.340046044952,16344.47662355912,23495.44624588562,Mercedes,2003,0
58,43,IL,500,915.3567310667133,2000000,FEMALE,College,Priv-house-serv,own-child,50351.35112979966,25733.476202591377,Single Vehicle Collision,Side Collision,Minor Damage,Fire,15,2,NO,0,0,Unknown,95900.42708797926,6942.378665314459,27734.83075590876,21353.78814803182,Volkswagen,2002,0
59,70,IL,500,1975.282209072833,1000000,FEMALE,High School,Protective-serv,husband,6010.855607839582,5285.030193965034,Multi-vehicle Collision,Side Collision,Total Loss,Fire,6,2,NO,2,2,NO,3071.942052087308,16754.15765018065,17170.63536082873,19492.105177222256,Mercedes,2019,1
60,19,IL,2000,711.0672920731377,2000000,FEMALE,College,Adm-clerical,other-relative,91593.49625111537,34703.61667654922,Parked Car,Unknown,Total Loss,Fire,6,4,YES,0,0,Unknown,99013.68094046073,23603.763025879594,2089.089479251818,4022.233848862148,Volkswagen,2001,1
61,37,IL,500,803.0235026037349,5000000,MALE,PhD,Exec-managerial,wife,61545.1420384406,25958.151978727023,Vehicle Theft,Side Collision,Total Loss,Fire,17,2,YES,1,0,YES,32588.47322649103,26010.947963300518,16586.081805773138,4535.447739295767,Toyota,2004,0
62,45,TX,500,776.3372588570392,0,FEMALE,High School,Protective-serv,own-child,19269.109469296796,14902.878589740476,Vehicle Theft,Rear Collision,Major Damage,Fire,17,2,Unknown,2,1,Unknown,84374.14470939396,3153.5738955719007,17272.16797478042,36140.12203240462,Dodge,2002,0
63,64,FL,500,1840.9845650118057,2000000,MALE,PhD,Adm-clerical,unmarried,60638.61169830528,21126.96901119274,Single Vehicle Collision,Unknown,Minor Damage,Police,1,2,YES,1,3,YES,18439.398339329648,10691.235488797363,6430.196380289268,25392.364345287348,Chevrolet,2018,0
64,24,CA,2000,1481.4388284874428,5000000,MALE,College,Protective-serv,own-child,67746.33542399734,14916.887179374939,Parked Car,Rear Collision,Major Damage,Fire,14,1,Unknown,0,3,YES,6758.376631882489,19189.333258076105,14130.872523131302,10861.529972671253,Toyota,2011,0
65,61,CA,1000,728.1564248334093,1000000,MALE,High School,Protective-serv,wife,52577.03366832255,13151.291787139202,Vehicle Theft,Side Collision,Total Loss,Police,13,2,Unknown,0,0,NO,38146.36469423741,1041.6860428095665,13783.24535620954,11532.365373931521,Chevrolet,2006,0
66,25,IL,1000,1160.4851275525234,5000000,FEMALE,College,Handlers-cleaners,own-child,71810.17379560226,8180.42104218561,Parked Car,Side Collision,Total Loss,Fire,17,1,YES,1,1,YES,85963.07615880396,20718.45600452481,18686.28447061811,24602.69585012089,Audi,2008,1
67,64,IL,500,1422.947037604703,1000000,FEMALE,High School,Priv-house-serv,husband,58145.394792862426,18138.356656873795,Multi-vehicle Collision,Rear Collision,Total Loss,None,8,3,NO,1,0,YES,22472.079129842696,15841.016484114814,7788.422960217611,16573.93149810865,Toyota,2006,0
68,52,NY,1000,625.196127484075,1000000,FEMALE,College,Exec-managerial,own-child,94776.95820321482,12549.360315803537,Single Vehicle Collision,Unknown,Trivial Damage,None,13,3,NO,2,2,NO,15818.753912308297,8656.988376600793,17452.452538445814,17932.304753911234,Saab,2019,0
69,31,FL,2000,1823.624552611008,0,MALE,PhD,Priv-house-serv,own-child,5369.707859930683,34171.724352695855,Single Vehicle Collision,Unknown,Minor Damage,Police,4,3,NO,1,0,Unknown,91025.53073054395,24439.633517821516,7228.561279108284,2895.674626070051,Saab,1996,1
70,34,TX,2000,1705.4053031623027,0,MALE,PhD,Other-service,unmarried,10624.57084695605,34193.837058165314,Parked Car,Rear Collision,Minor Damage,Fire,10,3,NO,1,1,Unknown,93864.55166083518,8701.521368873255,13393.3581661172,5980.197890834917,Chevrolet,2006,0
71,53,CA,1000,1257.8101603649575,5000000,FEMALE,College,Handlers-cleaners,husband,17367.163695433985,25092.01212778192,Vehicle Theft,Side Collision,Minor Damage,None,7,3,Unknown,0,0,YES,1748.5458192964381,29742.451386114102,3681.1709801192105,16037.341849264672,Audi,2021,0
72,67,NY,1000,1950.6899228887557,0,MALE,High School,Handlers-cleaners,husband,69017.10706043322,38897.22637351605,Parked Car,Front Collision,Trivial Damage,None,4,2,NO,0,1,Unknown,72879.85587284042,24491.105673400212,1119.0164358443456,28137.61358742335,Chevrolet,2008,0
73,57,NY,500,1126.6414689126495,0,MALE,Masters,Priv-house-serv,own-child,64559.58727498087,42066.98595030241,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,10,2,Unknown,1,3,YES,31266.169784668,21239.41504149263,9617.619179752017,2397.0028101965695,Ford,2001,0
74,21,CA,1000,1976.1654785547466,0,FEMALE,PhD,Handlers-cleaners,unmarried,89205.88602096941,28988.322871713655,Vehicle Theft,Rear Collision,Total Loss,Fire,4,2,YES,1,1,Unknown,37783.08481173537,1840.4267388793805,8237.152519492245,13715.032816827787,Saab,2023,1
75,19,TX,500,1501.8799982054406,5000000,FEMALE,PhD,Priv-house-serv,own-child,73287.74528838984,30946.75813817169,Vehicle Theft,Rear Collision,Minor Damage,None,16,3,YES,0,2,Unknown,47175.746007673246,27129.311159618206,12208.077360940402,27955.34210141338,Mercedes,2020,0
76,23,NY,500,1452.0069098809122,2000000,FEMALE,Masters,Handlers-cleaners,own-child,50835.548756459226,14144.29548931826,Parked Car,Side Collision,Major Damage,Fire,21,3,Unknown,2,1,Unknown,42965.70153236469,23701.65917212653,28859.478600010192,31786.006222786506,Chevrolet,2020,0
77,71,NY,2000,748.9323429436774,0,MALE,College,Protective-serv,wife,99183.17924636303,44743.46003527599,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,3,1,NO,2,2,YES,51739.89160571947,6870.752378754068,15666.878843109853,8013.717811764876,Chevrolet,2007,0
78,59,FL,2000,1822.891637456966,0,MALE,High School,Priv-house-serv,wife,26610.795616929918,1210.3022211264913,Vehicle Theft,Side Collision,Total Loss,Fire,14,4,Unknown,2,2,NO,58444.99071613162,11767.44543980667,16595.301184102696,29393.741709791557,BMW,2015,0
79,21,TX,2000,1141.2345318809228,5000000,MALE,College,Priv-house-serv,unmarried,83319.1659785454,17430.123472142284,Single Vehicle Collision,Rear Collision,Total Loss,None,18,2,NO,2,0,Unknown,46826.75273137346,8058.946548574286,28248.03116362123,38238.761916121664,BMW,1998,0
80,71,NY,2000,743.350108673719,2000000,MALE,JD,Adm-clerical,other-relative,42679.03721939193,36090.0210774928,Multi-vehicle Collision,Side Collision,Minor Damage,None,21,4,NO,0,2,Unknown,70305.572278707,29532.481025431996,27634.414127754993,36319.07992880971,Volkswagen,1995,0
81,46,TX,1000,518.9112799636385,0,MALE,PhD,Handlers-cleaners,wife,64873.51388757342,4004.475483558062,Vehicle Theft,Side Collision,Total Loss,Police,1,3,Unknown,1,1,Unknown,72000.86545279314,25625.893344166783,26523.358617012535,31680.3550564116,Audi,2011,1
82,35,CA,2000,1339.6335254575738,1000000,FEMALE,JD,Handlers-cleaners,other-relative,72726.8470452434,9158.476371414632,Parked Car,Rear Collision,Major Damage,Ambulance,23,3,Unknown,2,3,YES,44315.74014390641,27906.759080853077,2939.842260891391,28636.90409863286,Saab,1997,0
83,43,IL,1000,1291.0994331840145,5000000,MALE,PhD,Priv-house-serv,husband,63375.408719033636,29464.286393142556,Vehicle Theft,Side Collision,Minor Damage,None,16,3,NO,0,1,NO,14675.083234667303,23663.227091262896,19028.92231560991,9787.963166780928,Saab,2011,0
84,61,NY,2000,1579.0304335537378,0,MALE,PhD,Protective-serv,wife,14050.730310859328,27999.683573177896,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,4,Unknown,1,3,YES,64243.57267135221,13690.447232107426,24242.969414805353,25539.177468400438,BMW,2002,0
85,51,FL,1000,1835.3870795267032,0,MALE,JD,Protective-serv,wife,44295.101074793274,36946.41480654775,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,23,1,NO,2,2,Unknown,77409.19287889554,6163.027494440552,25067.240687312846,25909.322755506688,Chevrolet,1997,0
86,27,CA,500,619.1098769645442,1000000,FEMALE,JD,Exec-managerial,unmarried,56143.837793312436,40630.63195440859,Vehicle Theft,Side Collision,Major Damage,None,16,3,Unknown,1,0,YES,63991.897359792994,6242.404707292014,17337.214275056882,16569.442617661174,Chevrolet,2021,0
87,53,TX,1000,1597.2447355105435,1000000,FEMALE,College,Protective-serv,other-relative,84904.37591785968,6428.978925583456,Single Vehicle Collision,Unknown,Total Loss,Police,9,1,YES,2,2,Unknown,59011.44920175815,4550.48545100031,524.8664245850731,19974.110737187035,Saab,2004,0
88,31,CA,1000,781.1179161463733,5000000,FEMALE,JD,Handlers-cleaners,wife,44364.57487985723,919.0494887621026,Vehicle Theft,Unknown,Minor Damage,None,17,1,NO,1,2,Unknown,23326.49312784333,16399.48650910191,29211.38704925205,27914.125282900917,Audi,1996,0
89,48,NY,2000,1787.2655797357459,5000000,MALE,College,Adm-clerical,wife,91874.73048042515,34481.92598294531,Vehicle Theft,Rear Collision,Total Loss,Police,18,2,YES,2,3,YES,64691.135561516196,27598.995685909278,14165.901082743643,38108.010660561675,Dodge,2016,0
90,65,TX,1000,1728.5952707924841,1000000,FEMALE,College,Priv-house-serv,unmarried,44037.42230252107,15069.58978831796,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,4,Unknown,2,1,Unknown,33818.19335033309,29753.942101372988,11807.876858207945,12164.595233420749,Ford,1998,0
91,32,IL,500,1311.1906324783167,5000000,FEMALE,College,Other-service,unmarried,54877.98592630117,31299.19569589768,Parked Car,Unknown,Minor Damage,Police,12,3,YES,1,0,Unknown,91996.10684992187,8618.994001102945,11848.46141031789,10231.344502318861,Saab,2023,0
92,25,CA,500,1565.3641979349673,1000000,FEMALE,PhD,Adm-clerical,other-relative,79628.5682942801,7527.229403111235,Parked Car,Front Collision,Major Damage,Fire,13,1,Unknown,1,0,NO,65545.14922961808,20919.43620890188,12724.526401747995,24271.37224580543,Volkswagen,2023,0
93,31,NY,2000,971.5251697756225,0,MALE,PhD,Other-service,husband,58306.768442214365,23452.002333298144,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,4,NO,1,0,YES,28178.877832476115,17912.940468311335,7265.42154518259,5666.564901933717,Dodge,2008,0
94,40,FL,500,1206.751848399222,1000000,FEMALE,JD,Adm-clerical,husband,96021.80723828246,25221.237303171845,Single Vehicle Collision,Front Collision,Total Loss,Fire,15,4,Unknown,0,0,YES,47556.227481711045,14668.083506289333,9820.008772494895,23510.046804268648,Saab,2005,1
95,74,TX,1000,1732.4553465657075,1000000,MALE,PhD,Protective-serv,own-child,66033.58305141276,29253.890818660806,Single Vehicle Collision,Front Collision,Minor Damage,None,17,3,Unknown,0,1,Unknown,84734.83695056192,19973.059314361242,29560.728293242177,4009.6336603215173,BMW,2008,0
96,57,CA,500,1188.8977957598208,2000000,MALE,JD,Handlers-cleaners,wife,52270.945406760104,25658.50081652822,Multi-vehicle Collision,Unknown,Minor Damage,Fire,17,2,NO,1,0,Unknown,33878.663142673424,11140.890569402069,11045.040007682826,19878.063244378096,Saab,2007,0
